Versiculo,Hebreo_Original,Hebreo_Limpio,Traduccion,Conceptos_Matriz
1,וַיֵּ֥רַע אֶל־יוֹנָ֖ה רָעָ֣ה גְדוֹלָ֑ה וַיִּ֖חַר לֽוֹ׃,וירע אליונה רעה גדולה ויחר לו,"This displeased Jonah greatly, and he was grieved. ",Ninguno
2,וַיִּתְפַּלֵּ֨ל אֶל־יְהֹוָ֜ה וַיֹּאמַ֗ר אָנָּ֤ה יְהֹוָה֙ הֲלוֹא־זֶ֣ה דְבָרִ֗י עַד־הֱיוֹתִי֙ עַל־אַדְמָתִ֔י עַל־כֵּ֥ן קִדַּ֖מְתִּי לִבְרֹ֣חַ תַּרְשִׁ֑ישָׁה כִּ֣י יָדַ֗עְתִּי כִּ֤י אַתָּה֙ אֵֽל־חַנּ֣וּן וְרַח֔וּם אֶ֤רֶךְ אַפַּ֙יִם֙ וְרַב־חֶ֔סֶד וְנִחָ֖ם עַל־הָרָעָֽה׃,ויתפלל אליהוה ויאמר אנה יהוה הלואזה דברי עדהיותי עלאדמתי עלכן קדמתי לברח תרשישה כי ידעתי כי אתה אלחנון ורחום ארך אפים ורבחסד ונחם עלהרעה,"He prayed to GOD, saying, “O ETERNAL One! Isn’t this just what I said when I was still in my own country? That is why I fled beforehand to Tarshish. For I know that You are a compassionate and gracious God, slow to anger, abounding in kindness, renouncing punishment. ",Percepción (Yada)
3,"וְעַתָּ֣ה יְהֹוָ֔ה קַח־נָ֥א אֶת־נַפְשִׁ֖י מִמֶּ֑נִּי כִּ֛י ט֥וֹב מוֹתִ֖י מֵחַיָּֽי׃&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","ועתה יהוה קחנא אתנפשי ממני כי טוב מותי מחיי&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Please, ETERNAL One, take my life, for I would rather die than live.” ",Ninguno
4,וַיֹּ֣אמֶר יְהֹוָ֔ה הַהֵיטֵ֖ב חָ֥רָה לָֽךְ׃,ויאמר יהוה ההיטב חרה לך," GOD replied, “Are you that deeply grieved?”",Ninguno
5,וַיֵּצֵ֤א יוֹנָה֙ מִן־הָעִ֔יר וַיֵּ֖שֶׁב מִקֶּ֣דֶם לָעִ֑יר וַיַּ֩עַשׂ֩ ל֨וֹ שָׁ֜ם סֻכָּ֗ה וַיֵּ֤שֶׁב תַּחְתֶּ֙יהָ֙ בַּצֵּ֔ל עַ֚ד אֲשֶׁ֣ר יִרְאֶ֔ה מַה־יִּהְיֶ֖ה בָּעִֽיר׃,ויצא יונה מןהעיר וישב מקדם לעיר ויעש לו שם סכה וישב תחתיה בצל עד אשר יראה מהיהיה בעיר,"Now Jonah had left the city and found a place east of the city. He made a booth there and sat under it in the shade, until he should see what happened to the city. ",Ninguno
6,וַיְמַ֣ן יְהֹוָֽה־אֱ֠לֹהִ֠ים קִיקָי֞וֹן וַיַּ֣עַל&thinsp;<b>׀</b> מֵעַ֣ל לְיוֹנָ֗ה לִֽהְי֥וֹת צֵל֙ עַל־רֹאשׁ֔וֹ לְהַצִּ֥יל ל֖וֹ מֵרָֽעָת֑וֹ וַיִּשְׂמַ֥ח יוֹנָ֛ה עַל־הַקִּֽיקָי֖וֹן שִׂמְחָ֥ה גְדוֹלָֽה׃,וימן יהוהאלהים קיקיון ויעל&thinsp;<b></b> מעל ליונה להיות צל עלראשו להציל לו מרעתו וישמח יונה עלהקיקיון שמחה גדולה," The ETERNAL God provided a ricinus plant,aricinus plant Meaning of Heb. uncertain; in contrast to others “gourd.” which grew up over Jonah, to provide shade for his head and save him from discomfort. Jonah was very happy about the plant. ",Ninguno
7,וַיְמַ֤ן הָֽאֱלֹהִים֙ תּוֹלַ֔עַת בַּעֲל֥וֹת הַשַּׁ֖חַר לַֽמׇּחֳרָ֑ת וַתַּ֥ךְ אֶת־הַקִּֽיקָי֖וֹן וַיִּיבָֽשׁ׃,וימן האלהים תולעת בעלות השחר למחרת ותך אתהקיקיון וייבש,"But the next day at dawn God provided a worm, which attacked the plant so that it withered. ",Ninguno
8,וַיְהִ֣י&thinsp;<b>׀</b> כִּזְרֹ֣חַ הַשֶּׁ֗מֶשׁ וַיְמַ֨ן אֱלֹהִ֜ים ר֤וּחַ קָדִים֙ חֲרִישִׁ֔ית וַתַּ֥ךְ הַשֶּׁ֛מֶשׁ עַל־רֹ֥אשׁ יוֹנָ֖ה וַיִּתְעַלָּ֑ף וַיִּשְׁאַ֤ל אֶת־נַפְשׁוֹ֙ לָמ֔וּת וַיֹּ֕אמֶר ט֥וֹב מוֹתִ֖י מֵחַיָּֽי׃,ויהי&thinsp;<b></b> כזרח השמש וימן אלהים רוח קדים חרישית ותך השמש עלראש יונה ויתעלף וישאל אתנפשו למות ויאמר טוב מותי מחיי,"And when the sun rose, God provided a sultrybsultry Meaning of Heb. uncertain. east wind; the sun beat down on Jonah’s head, and he became faint. He begged for death, saying, “I would rather die than live.” ",Ninguno
9,וַיֹּ֤אמֶר אֱלֹהִים֙ אֶל־יוֹנָ֔ה הַהֵיטֵ֥ב חָרָֽה־לְךָ֖ עַל־הַקִּֽיקָי֑וֹן וַיֹּ֕אמֶר הֵיטֵ֥ב חָֽרָה־לִ֖י עַד־מָֽוֶת׃,ויאמר אלהים אליונה ההיטב חרהלך עלהקיקיון ויאמר היטב חרהלי עדמות,"Then God said to Jonah, “Are you so deeply grieved about the plant?” “Yes,” he replied, “so deeply that I want to die.”",Ninguno
10,וַיֹּ֣אמֶר יְהֹוָ֔ה אַתָּ֥ה חַ֙סְתָּ֙ עַל־הַקִּ֣יקָי֔וֹן אֲשֶׁ֛ר לֹא־עָמַ֥לְתָּ בּ֖וֹ וְלֹ֣א גִדַּלְתּ֑וֹ שֶׁבִּן־לַ֥יְלָה הָיָ֖ה וּבִן־לַ֥יְלָה אָבָֽד׃,ויאמר יהוה אתה חסת עלהקיקיון אשר לאעמלת בו ולא גדלתו שבןלילה היה ובןלילה אבד,"Then GOD said: “You cared about the plant, which you did not work for and which you did not grow, which appeared overnight and perished overnight. ",Ninguno
