Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Daniel,1,1,בשנת שלוש למלכות יהויקים מלךיהודה בא נבוכדנאצר מלךבבל ירושל͏ם ויצר עליה,"In the third year of the reign of King Jehoiakim of Judah, King Nebuchadnezzar of Babylon came to Jerusalem and laid siege to it. ",Ninguno
Daniel,1,2,ויתן אדני בידו אתיהויקים מלךיהודה ומקצת כלי ביתהאלהים ויביאם ארץשנער בית אלהיו ואתהכלים הביא בית אוצר אלהיו,"The Sovereign delivered King Jehoiakim of Judah into his power, together with some of the vessels of the House of God, and he brought them to the land of Shinar to the house of his god; he deposited the vessels in the treasury of his god. ",Ninguno
Daniel,1,3,ויאמר המלך לאשפנז רב סריסיו להביא מבני ישראל ומזרע המלוכה ומןהפרתמים,"Then the king ordered Ashpenaz, his chief officer, to bring some Israelites of royal descent and of the nobility— ",Ninguno
Daniel,1,4,"ילדים אשר איןבהם כל<span class=""mam-kq-trivial"">מאום</span> וטובי מראה ומשכלים בכלחכמה וידעי דעת ומביני מדע ואשר כח בהם לעמד בהיכל המלך וללמדם ספר ולשון כשדים","youths without blemish, handsome, proficient in all wisdom, knowledgeable and intelligent, and capable of serving in the royal palace—and teach them the writings and the language of the Chaldeans. ",Percepción (Yada)
Daniel,1,5,וימן להם המלך דבריום ביומו מפתבג המלך ומיין משתיו ולגדלם שנים שלוש ומקצתם יעמדו לפני המלך,"The king allotted daily rations to them from the king’s food and from the wine he drank. They were to be educated for three years, at the end of which theyaat the end of which they Or “and some of them.” were to enter the king’s service.",Ninguno
Daniel,1,6,ויהי בהם מבני יהודה דניאל חנניה מישאל ועזריה,"Among them were the Judahites Daniel, Hananiah, Mishael, and Azariah. ",Ninguno
Daniel,1,7,וישם להם שר הסריסים שמות וישם לדניאל בלטשאצר ולחנניה שדרך ולמישאל מישך ולעזריה עבד נגו,"The chief officer gave them new names; he named Daniel Belteshazzar, Hananiah Shadrach, Mishael Meshach, and Azariah Abed-nego. ",Ninguno
Daniel,1,8,וישם דניאל עללבו אשר לאיתגאל בפתבג המלך וביין משתיו ויבקש משר הסריסים אשר לא יתגאל,"Daniel resolved not to defile himself with the king’s food or the wine he drank, so he sought permission of the chief officer not to defile himself, ",Ninguno
Daniel,1,9,ויתן האלהים אתדניאל לחסד ולרחמים לפני שר הסריסים,and God disposed the chief officer to be kind and compassionate toward Daniel. ,Ninguno
Daniel,1,10,ויאמר שר הסריסים לדניאל ירא אני אתאדני המלך אשר מנה אתמאכלכם ואתמשתיכם אשר למה יראה אתפניכם זעפים מןהילדים אשר כגילכם וחיבתם אתראשי למלך,"The chief officer said to Daniel, “I fear that my lord the king, who allotted food and drink to you, will notice that you look out of sorts, unlike the other youths of your age—and you will put my lifeblife Lit. “head.” in jeopardy with the king.” ",Ninguno
