Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Ecclesiastes,1,1,דברי קהלת בןדוד מלך בירושל͏ם,"The words of KohelethaKoheleth Probably “the Assembler,” namely of hearers or of sayings; cf. 12.9–11. son of David, king in Jerusalem.",Ninguno
Ecclesiastes,1,2,הבל הבלים אמר קהלת הבל הבלים הכל הבל,Utter futility!—said Koheleth—Utter futility! All is futile!,Ninguno
Ecclesiastes,1,3,מהיתרון לאדם בכלעמלו שיעמל תחת השמש,What real value is there for humankindIn all the gainsbgains So Rashbam. Heb. ʻamal usually has this sense in Ecclesiastes; cf. Ps. 105.44. they make beneath the sun?,Ninguno
Ecclesiastes,1,4,דור הלך ודור בא והארץ לעולם עמדת,"One generation goes, another comes,But the earth remains the same forever.",Ninguno
Ecclesiastes,1,5,וזרח השמש ובא השמש ואלמקומו שואף זורח הוא שם,"The sun rises, and the sun sets—And glidescglides So Targum; cf. Bereshith Rabbah on Gen. 1.17. back to where it rises.",Ninguno
Ecclesiastes,1,6,הולך אלדרום וסובב אלצפון סובב&thinsp;<small></small>&thinsp;סבב הולך הרוח ועלסביבתיו שב הרוח,"Southward blowing,Turning northward,Ever turning blows the wind;On its rounds the wind returns.",Ninguno
Ecclesiastes,1,7,כלהנחלים הלכים אלהים והים איננו מלא אלמקום שהנחלים הלכים שם הם שבים ללכת,"All streams flow into the sea,Yet the sea is never full;To the place [from] which they flowThe streams flow back again.dflow back again According to popular belief, through tunnels; so Targum and Rashi. ",Ninguno
Ecclesiastes,1,8,כלהדברים יגעים לאיוכל איש לדבר לאתשבע עין לראות ולאתמלא אזן משמע,"All such things are wearisome:No one can ever state them;The eye never has enough of seeing,Nor the ear enough of hearing.",Ninguno
Ecclesiastes,1,9,מהשהיה הוא שיהיה ומהשנעשה הוא שיעשה ואין כלחדש תחת השמש,"Only that shall happenThat has happened,Only that occurThat has occurred;There is nothing newBeneath the sun!",Ninguno
Ecclesiastes,1,10,יש דבר שיאמר ראהזה חדש הוא כבר היה לעלמים אשר היה מלפננו,"Sometimes there is a phenomenon of which they say, “Look, this one is new!”—it occurred long since, in ages that went by before us. ",Ninguno
Ecclesiastes,1,11,"אין זכרון לראשנים וגם לאחרנים שיהיו לאיהיה להם זכרון עם שיהיו לאחרנה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","The earlier ones are not remembered; so too those that will occur later will no more be remembered thanewill no more be remembered than Lit. “will not be remembered like…” For ʻim meaning “like,” cf. 2.16; 7.11; Job 9.26. those that will occur at the very end.",Ninguno
Ecclesiastes,1,12,אני קהלת הייתי מלך עלישראל בירושל͏ם,"I, Koheleth, was king in Jerusalem over Israel. ",Ninguno
Ecclesiastes,1,13,ונתתי אתלבי לדרוש ולתור בחכמה על כלאשר נעשה תחת השמים הוא&thinsp;<b></b> ענין רע נתן אלהים לבני האדם לענות בו,"I set my mind to study and to probe with wisdom all that happens under the sun.—An unhappy business, that, which God gave mortals to be concerned with! ",Ninguno
Ecclesiastes,1,14,ראיתי אתכלהמעשים שנעשו תחת השמש והנה הכל הבל ורעות רוח,"I observed all the happenings beneath the sun, and I found that all is futile and pursuitfpursuit Lit. “tending,” from root rʻh, “to shepherd.” of wind:",Ninguno
Ecclesiastes,1,15,מעות לאיוכל לתקן וחסרון לאיוכל להמנות,"A twisted thing that cannot be made straight,A lack that cannot be made good.",Ninguno
Ecclesiastes,1,16,דברתי אני עםלבי לאמר אני הנה הגדלתי והוספתי חכמה על כלאשרהיה לפני עלירושל͏ם ולבי ראה הרבה חכמה ודעת,"I said to myself: “Here I have grown richer and wiser than any who ruled before me over Jerusalem, and my mind has zealously absorbed wisdom and learning.” ",Ninguno
Ecclesiastes,1,17,ואתנה לבי לדעת חכמה ודעת הוללת ושכלות ידעתי שגםזה הוא רעיון רוח,And so I set my mind to appraise wisdom and to appraise madness and folly. And I learned—that this too was pursuit of wind:,Percepción (Yada)
