Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Ezra,1,1,ובשנת אחת לכורש מלך פרס לכלות דבריהוה מפי ירמיה העיר יהוה אתרוח כרש מלךפרס ויעברקול בכלמלכותו וגםבמכתב לאמר,"In the first year of King Cyrus of Persia, when the word of GOD spoken by Jeremiah was fulfilled,athe word of GOD spoken by Jeremiah was fulfilled Cf. Jer. 29.10. GOD roused the spirit of King Cyrus of Persia to issue a proclamation throughout his realm by word of mouth and in writing as follows:",Ninguno
Ezra,1,2,כה אמר כרש מלך פרס כל ממלכות הארץ נתן לי יהוה אלהי השמים והואפקד עלי לבנותלו בית בירושל͏ם אשר ביהודה,"“Thus said King Cyrus of Persia: The ETERNAL God of Heaven has given me all the kingdoms of the earth and has charged me with building a house [of God] in Jerusalem, which is in Judah. ",Ninguno
Ezra,1,3,מיבכם מכלעמו יהי אלהיו עמו ויעל לירושל͏ם אשר ביהודה ויבן אתבית יהוה אלהי ישראל הוא האלהים אשר בירושל͏ם,"May your God be with those of you among this people who wish to go up to Jerusalem that is in Judah and build the House of the ETERNAL God of Israel, the God that is in Jerusalem; ",Ninguno
Ezra,1,4,וכלהנשאר מכלהמקמות אשר הוא גרשם ינשאוהו אנשי מקמו בכסף ובזהב וברכוש ובבהמה עםהנדבה לבית האלהים אשר בירושל͏ם,"and all who stay behind, wherever that may be, let the people of that place render assistance with silver, gold, goods, and livestock, besides the freewill offering to the House of God that is in Jerusalem.”",Ninguno
Ezra,1,5,ויקומו ראשי האבות ליהודה ובנימן והכהנים והלוים לכל העיר האלהים אתרוחו לעלות לבנות אתבית יהוה אשר בירושל͏ם,"So the heads of the clans of Judah and Benjamin, and the priests and Levites, all whose spirit had been roused by God, got ready to go up to build the House of GOD that is in Jerusalem. ",Ninguno
Ezra,1,6,"וכלסביבתיהם חזקו בידיהם בכליכסף בזהב ברכוש ובבהמה ובמגדנות לבד עלכלהתנדב&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","All their neighbors supported them with silver vessels, with gold, with goods, with livestock, and with precious objects, besides what had been given as a freewill offering. ",Ninguno
Ezra,1,7,והמלך כורש הוציא אתכלי ביתיהוה אשר הוציא נבוכדנצר מירושל͏ם ויתנם בבית אלהיו,King Cyrus released the vessels of GOD’s house that Nebuchadnezzar had taken away from Jerusalem and had put in the house of his god.,Ninguno
Ezra,1,8,"ויוציאם כורש מלך פרס עליד מתרדת הגזבר ויספרם לששבצר הנשיא ליהודה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","These King Cyrus of Persia released through the office of Mithredath the treasurer, who gave an inventory of them to Sheshbazzar the prince of Judah. ",Ninguno
Ezra,1,9,"ואלה מספרם אגרטלי זהב שלשים אגרטליכסף אלף מחלפים תשעה ועשרים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","This is the inventory: 30 gold basins, 1,000 silver basins, 29 knives, ",Ninguno
Ezra,1,10,כפורי זהב שלשים כפורי כסף משנים ארבע מאות ועשרה כלים אחרים אלף,"30 gold bowls, 410 silver double bowls,bdouble bowls Meaning of Heb. uncertain. 1,000 other vessels; ",Ninguno
