Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Haggai,1,1,בשנת שתים לדריוש המלך בחדש הששי ביום אחד לחדש היה דבריהוה בידחגי הנביא אלזרבבל בןשאלתיאל פחת יהודה ואליהושע בןיהוצדק הכהן הגדול לאמר,"In the second year of King Darius, on the first day of the sixth month, this word of GOD came through the prophet Haggai to Zerubbabel son of Shealtiel, the governor of Judah, and to Joshua son of Jehozadak, the high priest:",Ninguno
Haggai,1,2,"כה אמר יהוה צבאות לאמר העם הזה אמרו לא עתבא עתבית יהוה להבנות&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Thus said GOD of Hosts: These people say, “The time has not yet comeaThe time has not yet come Lit. “It is not time for the coming of the time.” for rebuilding the House of GOD.”",Ninguno
Haggai,1,3,ויהי דבריהוה בידחגי הנביא לאמר,And the word of GOD through the prophet Haggai continued:,Ninguno
Haggai,1,4,העת לכם אתם לשבת בבתיכם ספונים והבית הזה חרב,"Is it a time for you to dwell in your paneled houses, while this House is lying in ruins? ",Ninguno
Haggai,1,5,ועתה כה אמר יהוה צבאות שימו לבבכם עלדרכיכם,Now thus said GOD of Hosts: Consider how you have been faring!,Ninguno
Haggai,1,6,"זרעתם הרבה והבא מעט אכול ואיןלשבעה שתו ואיןלשכרה לבוש ואיןלחם לו והמשתכר משתכר אלצרור נקוב&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","You have sowed much and brought in little; you eat without being satisfied; you drink without getting your fill; you clothe yourselves, but no one gets warm; and he who earns anything earns it for a leaky purse.",Ninguno
Haggai,1,7,כה אמר יהוה צבאות שימו לבבכם עלדרכיכם,bThis verse and the next would read well after v. 11. Thus said GOD of Hosts: Consider how you have fared: ,Ninguno
Haggai,1,8,"עלו ההר והבאתם עץ ובנו הבית וארצהבו <span class=""mam-kq""><span class=""mam-kq-k"">(ואכבד)</span> <span class=""mam-kq-q"">[ואכבדה]</span></span> אמר יהוה","Go up to the hills and get timber, and rebuild the House; then I will look on it with favor and I will be glorifiedcbe glorified Emendation yields “glorify it”; see 2.7–9.—said GOD.",Ninguno
Haggai,1,9,פנה אלהרבה והנה למעט והבאתם הבית ונפחתי בו יען מה נאם יהוה צבאות יען ביתי אשרהוא חרב ואתם רצים איש לביתו,"You have been expecting much and getting little; and when you brought it home, I would blow on it!dblow on it Meaning, perhaps, cast a curse on it. Because of what?—says GOD of Hosts. Because of My House that lies in ruins, while you all hurry to your own houses! ",Ninguno
Haggai,1,10,עלכן עליכם כלאו שמים מטל והארץ כלאה יבולה,"That is why the skies above you have withheld [their] moisture and the earth has withheld its yield, ",Ninguno
Haggai,1,11,"ואקרא חרב עלהארץ ועלההרים ועלהדגן ועלהתירוש ועלהיצהר ועל אשר תוציא האדמה ועלהאדם ועלהבהמה ועל כליגיע כפים&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","and I have summoned fierce heat upon the land—upon the hills, upon the new grain and wine and oil, upon all that the ground produces, upon human and animal, and upon all the fruits of labor.",Ninguno
Haggai,1,12,וישמע זרבבל&thinsp;<small></small>&thinsp;בןשלתיאל ויהושע בןיהוצדק הכהן הגדול וכל&thinsp;<b></b> שארית העם בקול יהוה אלהיהם ועלדברי חגי הנביא כאשר שלחו יהוה אלהיהם וייראו העם מפני יהוה,"Zerubbabel son of Shealtiel and the high priest Joshua son of Jehozadak and all the rest of the people gave heed to the summons of the ETERNAL their God and to the words of the prophet Haggai, when the ETERNAL their God sent him; the people feared GOD. ",Ninguno
Haggai,1,13,ויאמר חגי מלאך יהוה במלאכות יהוה לעם לאמר אני אתכם נאםיהוה,"And Haggai, GOD’s messenger, fulfilling GOD’s mission, spoke to the people, “I am with you—declares GOD.”",Ninguno
Haggai,1,14,"ויער יהוה אתרוח זרבבל בןשלתיאל פחת יהודה ואתרוח יהושע בןיהוצדק הכהן הגדול ואתרוח כל שארית העם ויבאו ויעשו מלאכה בביתיהוה צבאות אלהיהם&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Then GOD roused the spirit of Zerubbabel son of Shealtiel, the governor of Judah, and the spirit of the high priest Joshua son of Jehozadak, and the spirit of all the rest of the people: They came and set to work on the House of GOD of Hosts, their God, ",Ninguno
Haggai,1,15,ביום עשרים וארבעה לחדש בששי בשנת שתים לדריוש המלך,"on the twenty-fourth day of the sixth month. In the second year of King Darius,",Ninguno
Haggai,2,1,בשביעי בעשרים ואחד לחדש היה דבריהוה בידחגי הנביא לאמר,"on the twenty-first day of the seventh month, the word of GOD came through the prophet Haggai:",Ninguno
