Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
II_Chronicles,1,1,ויתחזק שלמה בןדויד עלמלכותו ויהוה אלהיו עמו ויגדלהו למעלה,"Solomon son of David took firm hold of his kingdom, for the ETERNAL his God was with him and made him exceedingly great. ",Ninguno
II_Chronicles,1,2,ויאמר שלמה לכלישראל לשרי האלפים והמאות ולשפטים ולכל נשיא לכלישראל ראשי האבות,"Solomon summoned all Israel—the officers of thousands and of hundreds, and the judges, and all the chiefs of all Israel, the heads of the clans. ",Ninguno
II_Chronicles,1,3,וילכו שלמה וכלהקהל עמו לבמה אשר בגבעון כישם היה אהל מועד האלהים אשר עשה משה עבדיהוה במדבר,"aCf. 1 Kings 3.4–15. Then Solomon, and all the assemblage with him, went to the shrine at Gibeon, for the Tent of Meeting, which Moses the servant of GOD had made in the wilderness, was there. ",Ninguno
II_Chronicles,1,4,אבל ארון האלהים העלה דויד מקרית יערים בהכין לו דויד כי נטהלו אהל בירושל͏ם,(But the Ark of God David had brought up from Kiriath-jearim to the place that David had prepared for it; for he had pitched a tent for it in Jerusalem.),Ninguno
II_Chronicles,1,5,ומזבח הנחשת אשר עשה בצלאל בןאורי בןחור שם לפני משכן יהוה וידרשהו שלמה והקהל,"The bronze altar, which Bezalel son of Uri son of Hur had made, was also there before the Tabernacle of GOD, and Solomon and the assemblage resorted to it. ",Ninguno
II_Chronicles,1,6,ויעל שלמה שם עלמזבח הנחשת לפני יהוה אשר לאהל מועד ויעל עליו עלות אלף,"There Solomon ascended the bronze altar before GOD, which was at the Tent of Meeting, and on it sacrificed a thousand burnt offerings.",Ninguno
II_Chronicles,1,7,בלילה ההוא נראה אלהים לשלמה ויאמר לו שאל מה אתןלך,"That night, God appeared tobappeared to Or “made contact with.” Solomon and said to him, “Ask, what shall I grant you?” ",Ninguno
II_Chronicles,1,8,ויאמר שלמה לאלהים אתה עשית עםדויד אבי חסד גדול והמלכתני תחתיו,"Solomon said to God, “You dealt most graciously with my father David, and now You have made me king in his stead. ",Ninguno
II_Chronicles,1,9,עתה יהוה אלהים יאמן דברך עם דויד אבי כי אתה המלכתני עלעם רב כעפר הארץ,"Now, O ETERNAL God, let Your promise to my father David be fulfilled; for You have made me king over a people as numerous as the dust of the earth. ",Ninguno
II_Chronicles,1,10,"עתה חכמה ומדע תןלי ואצאה לפני העםהזה ואבואה כימי ישפט אתעמך הזה הגדול&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Grant me then the wisdom and the knowledge to lead this people,cto lead this people Lit. “that I may go out before this people and come in.” for who can govern Your great people?” ",Ninguno
