Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
II_Kings,1,1,ויפשע מואב בישראל אחרי מות אחאב,"After Ahab’s death, Moab rebelled against Israel.",Ninguno
II_Kings,1,2,"ויפל אחזיה בעד השבכה בעליתו אשר בשמרון ויחל וישלח מלאכים ויאמר אלהם לכו דרשו בבעל זבוב אלהי עקרון אםאחיה מחלי זה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Ahaziah fell through the lattice in his upper chamber at Samaria and was injured. So he sent messengers, whom he instructed: “Go inquire of Baal-zebub, the god of Ekron, whether I shall recover from this injury.” ",Ninguno
II_Kings,1,3,ומלאך יהוה דבר אלאליה התשבי קום עלה לקראת מלאכי מלךשמרון ודבר אלהם המבלי איןאלהים בישראל אתם הלכים לדרש בבעל זבוב אלהי עקרון,"But an angel of GOD said to Elijah the Tishbite, “Go and confront the messengers of the king of Samaria and say to them, ‘Is there no God in Israel that you go to inquire of Baal-zebub, the god of Ekron? ",Ninguno
II_Kings,1,4,ולכן כהאמר יהוה המטה אשרעלית שם לאתרד ממנה כי מות תמות וילך אליה,"Assuredly, thus said GOD: You shall not rise from the bed you are lying on,arise from the bed you are lying on Lit. “descend from the bed you have mounted.” but you shall die.’” And Elijah went.",Ninguno
II_Kings,1,5,וישובו המלאכים אליו ויאמר אליהם מהזה שבתם,"The messengers returned to Ahaziah;bAhaziah Heb. “him.” and he asked, “Why have you come back?” ",Ninguno
II_Kings,1,6,ויאמרו אליו איש&thinsp;<b></b> עלה לקראתנו ויאמר אלינו לכו שובו אלהמלך אשרשלח אתכם ודברתם אליו כה אמר יהוה המבלי איןאלהים בישראל אתה שלח לדרש בבעל זבוב אלהי עקרון לכן המטה אשרעלית שם לאתרד ממנה כימות תמות,"They answered him, “A man came toward us and said to us, ‘Go back to the king who sent you, and say to him: Thus said the ETERNAL: Is there no God in Israel that you must send to inquire of Baal-zebub, the god of Ekron? Assuredly, you shall not rise from the bed you are lying on, but shall die.’” ",Ninguno
II_Kings,1,7,וידבר אלהם מה משפט האיש אשר עלה לקראתכם וידבר אליכם אתהדברים האלה,"“What sort of man was it,” he asked them, “who came toward you and said these things to you?” ",Ninguno
II_Kings,1,8,ויאמרו אליו איש בעל שער ואזור עור אזור במתניו ויאמר אליה התשבי הוא,"“A hairy man,” they replied, “with a leather belt tied around his waist.” “That’s Elijah the Tishbite!” he said.",Ninguno
II_Kings,1,9,וישלח אליו שרחמשים וחמשיו ויעל אליו והנה ישב עלראש ההר וידבר אליו איש האלהים המלך דבר רדה,"Then he sent to him a captain of fifty with his fifty men. He climbed up to him, and found him sitting at the top of a hill. “Agent of God,” he said to him, “by order of the king, come down!” ",Ninguno
II_Kings,1,10,ויענה אליהו וידבר אלשר החמשים ואםאיש אלהים אני תרד אש מןהשמים ותאכל אתך ואתחמשיך ותרד אש מןהשמים ותאכל אתו ואתחמשיו,"Elijah replied to the captain of the fifty, “If I am an agent of God, let fire come down from heaven and consume you with your fifty men!” And fire came down from heaven and consumed him and his fifty men. ",Ninguno
II_Kings,1,11,וישב וישלח אליו שרחמשים אחר וחמשיו ויען וידבר אליו איש האלהים כהאמר המלך מהרה רדה,"The king then sent to him another captain with his fifty men; and he addressed himcaddressed him Emendation yields “went up and said to him,” cf. v. 9. as follows: “Agent of God, by order of the king, come down at once!” ",Ninguno
II_Kings,1,12,ויען אליה וידבר אליהם אםאיש האלהים אני תרד אש מןהשמים ותאכל אתך ואתחמשיך ותרד אשאלהים מןהשמים ותאכל אתו ואתחמשיו,"But Elijah answered him, “If I am an agent of God,dagent of God Heb. ’iyš ’elohiym. let fire come down from heaven and consume you with your fifty men!” And fire of Godefire of God Heb. ’eš ’elohiym. came down from heaven and consumed him and his fifty men. ",Ninguno
II_Kings,1,13,וישב וישלח שרחמשים שלשים וחמשיו ויעל ויבא שרהחמשים השלישי ויכרע עלברכיו&thinsp;<b></b> לנגד אליהו ויתחנן אליו וידבר אליו איש האלהים תיקרנא נפשי ונפש עבדיך אלה חמשים בעיניך,"Then he sent a third captain of fifty with his fifty men. The third captain of fifty climbed to the top, knelt before Elijah, and implored him, saying, “Oh, agent of God, please have regard for my life and the lives of these fifty servants of yours! ",Ninguno
II_Kings,1,14,"הנה ירדה אש מןהשמים ותאכל אתשני שרי החמשים הראשנים ואתחמשיהם ועתה תיקר נפשי בעיניך&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Already fire has come from heaven and consumed the first two captains of fifty and their men;fmen Lit. “fifties.” I beg you, have regard for my life!”",Ninguno
II_Kings,1,15,וידבר מלאך יהוה אלאליהו רד אותו אלתירא מפניו ויקם וירד אותו אלהמלך,"Then the angel of GOD said to Elijah, “Go down with him, do not be afraid of him.” So he rose and went down with him to the king. ",Ninguno
II_Kings,1,16,וידבר אליו כהאמר יהוה יען אשרשלחת מלאכים לדרש בבעל זבוב אלהי עקרון המבלי איןאלהים בישראל לדרש בדברו לכן המטה אשרעלית שם לאתרד ממנה כימות תמות,"He said to him, “Thus said GOD: Because you sent messengers to inquire of Baal-zebub the god of Ekron—as if there were no God in Israel whose word you could seek—assuredly, you shall not rise from the bed that you are lying on; but you shall die.”",Ninguno
II_Kings,1,17,"וימת כדבר יהוה&thinsp;<b></b> אשרדבר אליהו וימלך יהורם תחתיו&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>בשנת שתים ליהורם בןיהושפט מלך יהודה כי לאהיה לו בן&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","And [Ahaziah] died, according to the word of GOD that Elijah had spoken. JehoramgJehoram Brother of Ahaziah. succeeded him as king, in the second year of King Jehoram son of Jehoshaphat of Judah, for he had no son. ",Ninguno
II_Kings,1,18,"ויתר דברי אחזיהו אשר עשה הלואהמה כתובים עלספר דברי הימים למלכי ישראל&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",The other events of Ahaziah’s reign [and] his actions are recorded in the Annals of the Kings of Israel.,Ninguno
II_Kings,2,1,ויהי בהעלות יהוה אתאליהו בסערה השמים וילך אליהו ואלישע מןהגלגל,"When GOD was about to take Elijah up to heaven in a whirlwind, Elijah and Elisha had set out from Gilgal. ",Ninguno
II_Kings,2,2,ויאמר אליהו אלאלישע שבנא פה כי יהוה שלחני עדביתאל ויאמר אלישע חייהוה וחינפשך אםאעזבך וירדו ביתאל,"Elijah said to Elisha, “Stay here, for GOD has sent me on to Bethel.” “As GOD lives and as you live,” said Elisha, “I will not leave you.” So they went down to Bethel. ",Ninguno
II_Kings,2,3,ויצאו בניהנביאים אשרביתאל אלאלישע ויאמרו אליו הידעת כי היום יהוה לקח אתאדניך מעל ראשך ויאמר גםאני ידעתי החשו,"Disciples of the prophets at Bethel came out to Elisha and said to him, “Do you know that GOD will take your master away from youaaway from you Lit. “from upon your head.” today?” He replied, “I know it, too; be silent.”",Percepción (Yada)
II_Kings,2,4,ויאמר לו אליהו אלישע&thinsp;<b></b> שבנא פה כי יהוה שלחני יריחו ויאמר חייהוה וחינפשך אםאעזבך ויבאו יריחו,"Then Elijah said to him, “Elisha, stay here, for GOD has sent me on to Jericho.” “As GOD lives and as you live,” said Elisha, “I will not leave you.” So they went on to Jericho. ",Ninguno
II_Kings,2,5,ויגשו בניהנביאים אשרביריחו אלאלישע ויאמרו אליו הידעת כי היום יהוה לקח אתאדניך מעל ראשך ויאמר גםאני ידעתי החשו,"The disciples of the prophets who were at Jericho came over to Elisha and said to him, “Do you know that GOD will take your master away from youbaway from you See note at v. 3. today?” He replied, “I know it, too; be silent.”",Percepción (Yada)
II_Kings,2,6,ויאמר לו אליהו שבנא פה כי יהוה שלחני הירדנה ויאמר חייהוה וחינפשך אםאעזבך וילכו שניהם,"Elijah said to him, “Stay here, for GOD has sent me on to the Jordan.” “As GOD lives and as you live, I will not leave you,” he said, and the two of them went on. ",Ninguno
II_Kings,2,7,וחמשים איש מבני הנביאים הלכו ויעמדו מנגד מרחוק ושניהם עמדו עלהירדן,Fifty of the disciples of the prophets followed and stood by at a distance as the two of them stopped at the Jordan.,Ninguno
II_Kings,2,8,ויקח אליהו אתאדרתו ויגלם ויכה אתהמים ויחצו הנה והנה ויעברו שניהם בחרבה,"Thereupon Elijah took his mantle and, rolling it up, he struck the water; it divided to the right and left, so that the two of them crossed over on dry land. ",Ninguno
II_Kings,2,9,ויהי כעברם ואליהו אמר אלאלישע שאל מה אעשהלך בטרם אלקח מעמך ויאמר אלישע ויהי נא פישנים ברוחך אלי,"As they were crossing, Elijah said to Elisha, “Tell me, what can I do for you before I am taken from you?” Elisha answered, “Let a double portioncdouble portion Lit. “two-thirds”; cf. Zech. 13.8. of your spirit pass on to me.” ",Ninguno
