Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
II_Samuel,1,1,ויהי אחרי מות שאול ודוד שב מהכות אתהעמלק וישב דוד בצקלג ימים שנים,After the death of Saul—David had already returned from defeating the Amalekites—David stayed two days in Ziklag.,Ninguno
II_Samuel,1,2,ויהי&thinsp;<b></b> ביום השלישי והנה איש בא מןהמחנה מעם שאול ובגדיו קרעים ואדמה עלראשו ויהי בבאו אלדוד ויפל ארצה וישתחו,"On the third day, a man came from Saul’s camp, with his clothes rent and earth on his head;aearth on his head Another sign of mourning. and as he approached David, he flung himself to the ground and bowed low. ",Ninguno
II_Samuel,1,3,ויאמר לו דוד אי מזה תבוא ויאמר אליו ממחנה ישראל נמלטתי,"David said to him, “Where are you coming from?” He answered, “I have just escaped from the camp of Israel.” ",Ninguno
II_Samuel,1,4,ויאמר אליו דוד מההיה הדבר הגדנא לי ויאמר אשרנס העם מןהמלחמה וגםהרבה נפל מןהעם וימתו וגם שאול ויהונתן בנו מתו,"“What happened?” asked David. “Tell me!” And he told him how the troops had fled the battlefield, and that, moreover, many of the troops had fallen and died; also that Saul and his son Jonathan were dead. ",Ninguno
II_Samuel,1,5,ויאמר דוד אלהנער המגיד לו איך ידעת כימת שאול ויהונתן בנו,"“How do you know,” David asked the young man who brought him the news, “that Saul and his son Jonathan are dead?” ",Percepción (Yada)
II_Samuel,1,6,ויאמר הנער&thinsp;<b></b> המגיד לו נקרא נקריתי בהר הגלבע והנה שאול נשען עלחניתו והנה הרכב ובעלי הפרשים הדבקהו,"The young man who brought him the news answered, “I happened to be at Mount Gilboa, and I saw Saul leaning on his spear, and the chariots and riders closing in on him. ",Ninguno
II_Samuel,1,7,ויפן אחריו ויראני ויקרא אלי ואמר הנני,"He looked around and saw me, and he called to me. When I responded, ‘At your service,’ ",Ninguno
II_Samuel,1,8,"ויאמר לי מיאתה <span class=""mam-kq""><span class=""mam-kq-k"">(ויאמר)</span> <span class=""mam-kq-q"">[ואמר]</span></span> אליו עמלקי אנכי","he asked me, ‘Who are you?’ And I told him that I was an Amalekite. ",Ninguno
II_Samuel,1,9,ויאמר אלי עמדנא עלי ומתתני כי אחזני השבץ כיכלעוד נפשי בי,"Then he said to me, ‘Stand over me, and finish me off, for I am in agony and am barely alive.’bfor I am in agony … alive Meaning of Heb. uncertain. ",Ninguno
II_Samuel,1,10,ואעמד עליו ואמתתהו כי ידעתי כי לא יחיה אחרי נפלו ואקח הנזר&thinsp;<b></b> אשר עלראשו ואצעדה אשר עלזרעו ואביאם אלאדני הנה,"So I stood over him and finished him off, for I knew that he would never rise from where he was lying.che would never rise … lying Meaning of Heb. uncertain. Then I took the crown from his head and the armlet from his arm, and I have brought them here to my lord.”",Percepción (Yada)
