Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
I_Chronicles,1,1,<big>א</big>דם שת אנוש,"Adam, Seth, Enosh; ",Ninguno
I_Chronicles,1,2,קינן מהללאל ירד,"Kenan, Mahalalel, Jared; ",Ninguno
I_Chronicles,1,3,חנוך מתושלח למך,"Enoch, Methuselah, Lamech; ",Ninguno
I_Chronicles,1,4,"נח שם חם ויפת&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Noah, Shem, Ham, and Japheth.",Ninguno
I_Chronicles,1,5,"בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","aCf. Gen. 10.1–30. The sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras. ",Ninguno
I_Chronicles,1,6,"ובני גמר אשכנז ודיפת ותוגרמה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Gomer: Ashkenaz, Diphath, and Togarmah. ",Ninguno
I_Chronicles,1,7,"ובני יון אלישה ותרשישה כתים ורודנים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Javan: Elishah, Tarshish, Kittim, and Rodanim.",Ninguno
I_Chronicles,1,8,בני חם כוש ומצרים פוט וכנען,"The sons of Ham: Cush, Mizraim, Put, and Canaan. ",Ninguno
I_Chronicles,1,9,"ובני כוש סבא וחוילה וסבתא ורעמא וסבתכא ובני רעמא שבא ודדן&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Cush: Seba, Havilah, Sabta, Raama, and Sabteca. The sons of Raama: Sheba and Dedan. ",Ninguno
I_Chronicles,1,10,"וכוש ילד אתנמרוד הוא החל להיות גבור בארץ&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",Cush begot Nimrod; he was the first mighty one on earth.,Ninguno
I_Chronicles,1,11,"ומצרים ילד את<span class=""mam-kq""><span class=""mam-kq-q"">[לודים]</span> <span class=""mam-kq-k"">(לודיים)</span></span> ואתענמים ואתלהבים ואתנפתחים","Mizraim begot the Ludim, the Anamim, the Lehabim, the Naphtuhim, ",Ninguno
I_Chronicles,1,12,"ואתפתרסים ואתכסלחים אשר יצאו משם פלשתים ואתכפתרים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","the Pathrusim, the Casluhim (from whom the Philistines came), and the Caphtorim.",Ninguno
I_Chronicles,1,13,וכנען ילד אתצידון בכרו ואתחת,"Canaan begot Sidon his first-born, and Heth, ",Ninguno
I_Chronicles,1,14,ואתהיבוסי ואתהאמרי ואת הגרגשי,"and the Jebusites, the Amorites, the Girgashites, ",Ninguno
I_Chronicles,1,15,ואתהחוי ואתהערקי ואתהסיני,"the Hivites, the Arkites, the Sinites, ",Ninguno
I_Chronicles,1,16,"ואתהארודי ואתהצמרי ואתהחמתי&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","the Arvadites, the Zemarites, and the Hamathites.",Ninguno
I_Chronicles,1,17,"בני שם עילם ואשור וארפכשד ולוד וארם ועוץ וחול וגתר ומשך&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Shem: Elam, Asshur, Arpachshad, Lud, Aram, Uz, Hul, Gether, and Meshech. ",Ninguno
I_Chronicles,1,18,וארפכשד ילד אתשלח ושלח ילד אתעבר,Arpachshad begot Shelah; and Shelah begot Eber.,Ninguno
I_Chronicles,1,19,ולעבר ילד שני בנים שם האחד פלג כי בימיו נפלגה הארץ ושם אחיו יקטן,"Two sons were born to Eber: the name of the one was Peleg (for in his days the earth was divided), and the name of his brother Joktan. ",Ninguno
I_Chronicles,1,20,ויקטן ילד אתאלמודד ואתשלף ואתחצרמות ואתירח,"Joktan begot Almodad, Sheleph, Hazarmaveth, Jerah, ",Ninguno
I_Chronicles,1,21,ואתהדורם ואתאוזל ואתדקלה,"Hadoram, Uzal, Diklah, ",Ninguno
I_Chronicles,1,22,ואתעיבל ואתאבימאל ואתשבא,"Ebal, Abimael, Sheba, ",Ninguno
I_Chronicles,1,23,"ואתאופיר ואתחוילה ואתיובב כלאלה בני יקטן&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Ophir, Havilah, and Jobab; all these were the sons of Joktan.",Ninguno
I_Chronicles,1,24,שם&thinsp;<small></small>&thinsp;ארפכשד שלח,"Shem, Arpachshad, Shelah; ",Ninguno
I_Chronicles,1,25,עבר פלג רעו,"Eber, Peleg, Reu; ",Ninguno
I_Chronicles,1,26,שרוג נחור תרח,"Serug, Nahor, Terah; ",Ninguno
I_Chronicles,1,27,"אברם הוא אברהם&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Abram, that is, Abraham.",Ninguno
I_Chronicles,1,28,"בני אברהם יצחק וישמעאל&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",bCf. Gen. 25.1–16. The sons of Abraham: Isaac and Ishmael. ,Ninguno
I_Chronicles,1,29,אלה תלדותם בכור ישמעאל נביות וקדר ואדבאל ומבשם,"This is their line: The first-born of Ishmael, Nebaioth; and Kedar, Abdeel, Mibsam, ",Ninguno
I_Chronicles,1,30,משמע ודומה משא חדד ותימא,"Mishma, Dumah, Massa, Hadad, Tema, ",Ninguno
I_Chronicles,1,31,"יטור נפיש וקדמה אלה הם בני ישמעאל&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Jetur, Naphish, and Kedmah. These are the sons of Ishmael. ",Ninguno
I_Chronicles,1,32,"ובני קטורה פילגש אברהם ילדה אתזמרן ויקשן ומדן ומדין וישבק ושוח ובני יקשן שבא ודדן&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Keturah, Abraham’s concubine: she bore Zimran, Jokshan, Medan, Midian, Ishbak, and Shuah. The sons of Jokshan: Sheba and Dedan. ",Ninguno
I_Chronicles,1,33,"ובני מדין עיפה ועפר וחנוך ואבידע ואלדעה כלאלה בני קטורה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The sons of Midian: Ephah, Epher, Enoch, Abida, and Eldaah. All these were the descendants of Keturah.",Percepción (Yada)
I_Chronicles,1,34,"ויולד אברהם אתיצחק בני יצחק עשו וישראל&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",Abraham begot Isaac. The sons of Isaac: Esau and Israel.,Ninguno
