Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
I_Kings,1,1,והמלך דוד זקן בא בימים ויכסהו בבגדים ולא יחם לו,"King David was now old, advanced in years; and though they covered him with bedclothes, he never felt warm. ",Ninguno
I_Kings,1,2,ויאמרו לו עבדיו יבקשו לאדני המלך נערה בתולה ועמדה לפני המלך ותהילו סכנת ושכבה בחיקך וחם לאדני המלך,"His courtiers said to him, “Let a young virgin be sought for my lord the king, to wait upon Your Majesty and be his attendant;aattendant Meaning of Heb. uncertain. and let her lie in your bosom, and my lord the king will be warm.” ",Ninguno
I_Kings,1,3,ויבקשו נערה יפה בכל גבול ישראל וימצאו אתאבישג השונמית ויבאו אתה למלך,So they looked for a beautiful young woman throughout the territory of Israel. They found Abishag the Shunammite and brought her to the king.,Ninguno
I_Kings,1,4,והנערה יפה עדמאד ותהי למלך סכנת ותשרתהו והמלך לא ידעה,This young woman was exceedingly beautiful. She became the king’s attendantbattendant Meaning of Heb. uncertain. and waited upon him; but the king was not intimate with her.,Percepción (Yada)
I_Kings,1,5,ואדניה בןחגית מתנשא לאמר אני אמלך ויעש לו רכב ופרשים וחמשים איש רצים לפניו,"Now Adonijah son of Haggith went about boasting,cwent about boasting Or “presumed to think.” “I will be king!” He provided himself with chariots and horses,dhorses Or “riders”; force of Heb. parash(im) uncertain. and an escort of fifty outrunners. ",Ninguno
I_Kings,1,6,ולאעצבו אביו מימיו לאמר מדוע ככה עשית וגםהוא טובתאר מאד ואתו ילדה אחרי אבשלום,"His father had never scolded him: “Why did you do that?” He was the one born after Absalomethe one born after Absalom Thus, Absalom having died, Adonijah was David’s oldest living son. and, like him, was very handsome.",Ninguno
I_Kings,1,7,ויהיו דבריו עם יואב בןצרויה ועם אביתר הכהן ויעזרו אחרי אדניה,"He conferred with Joab son of Zeruiah and with the priest Abiathar, and they supported Adonijah; ",Ninguno
I_Kings,1,8,וצדוק הכהן ובניהו בןיהוידע ונתן הנביא ושמעי ורעי והגבורים אשר לדוד לא היו עםאדניהו,"but the priest Zadok, Benaiah son of Jehoiada, the prophet Nathan, Shimei and Rei, and David’s own warriors did not side with Adonijah. ",Percepción (Yada)
I_Kings,1,9,ויזבח אדניהו צאן ובקר ומריא עם אבן הזחלת אשראצל עין רגל ויקרא אתכלאחיו בני המלך ולכלאנשי יהודה עבדי המלך,"Adonijah made a sacrificial feast of sheep, oxen, and fatlings at the Zoheleth stone that is near En-rogel; he invited all his brother princesfall his brother princes Lit. “all his brothers sons of the king.” and all the king’s courtiers of the tribe of Judah; ",Ninguno
I_Kings,1,10,ואתנתן הנביא ובניהו ואתהגבורים ואתשלמה אחיו לא קרא,"but he did not invite the prophet Nathan, or Benaiah, or the warriors, or his brother Solomon.",Ninguno
I_Kings,1,11,ויאמר נתן אלבתשבע אםשלמה לאמר הלוא שמעת כי מלך אדניהו בןחגית ואדנינו דוד לא ידע,"Then Nathan said to Bathsheba, Solomon’s mother, “You must have heard that Adonijah son of Haggith has assumed the kingship without the knowledge of our lord David. ",Percepción (Yada)
I_Kings,1,12,ועתה לכי איעצך נא עצה ומלטי אתנפשך ואתנפש בנך שלמה,"Now take my advice, so that you may save your life and the life of your son Solomon. ",Ninguno
I_Kings,1,13,לכי ובאי&thinsp;<b></b> אלהמלך דוד ואמרת אליו הלאאתה אדני המלך נשבעת לאמתך לאמר כישלמה בנך ימלך אחרי והוא ישב עלכסאי ומדוע מלך אדניהו,"Go immediately to King David and say to him, ‘Did not you, O lord king, swear to your maidservant: “Your son Solomon shall succeed me as king, and he shall sit upon my throne”? Then why has Adonijah become king?’ ",Ninguno
I_Kings,1,14,הנה עודך מדברת שם עםהמלך ואני אבוא אחריך ומלאתי אתדבריך,"While you are still there talking with the king, I will come in after you and confirm your words.”",Ninguno
I_Kings,1,15,ותבא בתשבע אלהמלך החדרה והמלך זקן מאד ואבישג השונמית משרת אתהמלך,"So Bathsheba went to the king in his chamber.—The king was very old, and Abishag the Shunammite was waiting on the king.— ",Ninguno
I_Kings,1,16,ותקד בתשבע ותשתחו למלך ויאמר המלך מהלך,"Bathsheba bowed low in homage to the king; and the king asked, “What troubles you?” ",Ninguno
I_Kings,1,17,ותאמר לו אדני אתה נשבעת ביהוה אלהיך לאמתך כישלמה בנך ימלך אחרי והוא ישב עלכסאי,"She answered him, “My lord, you yourself swore to your maidservant by the ETERNAL your God: ‘Your son Solomon shall succeed me as king, and he shall sit upon my throne.’ ",Ninguno
I_Kings,1,18,ועתה הנה אדניה מלך ועתה אדני המלך לא ידעת,"Yet now Adonijah has become king, and you,gyou So many mss. and ancient versions; usual editions “now.” my lord the king, know nothing about it. ",Percepción (Yada)
I_Kings,1,19,"ויזבח שור ומריאוצאן לרב&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>ויקרא לכלבני המלך ולאביתר הכהן וליאב שר הצבא ולשלמה עבדך לא קרא","He has prepared a sacrificial feast of a great many oxen, fatlings, and sheep, and he has invited all the king’s sons and Abiathar the priest and Joab commander of the army; but he has not invited your servant Solomon. ",Ninguno
I_Kings,1,20,ואתה אדני המלך עיני כלישראל עליך להגיד להם מי ישב עלכסא אדניהמלך אחריו,"And so the eyes of all Israel are upon you, O lord king, to tell them who shall succeed my lord the king on the throne. ",Ninguno
I_Kings,1,21,והיה כשכב אדניהמלך עםאבתיו והייתי אני ובני שלמה חטאים,"Otherwise, when my lord the king rests with his ancestors, my son Solomon and I will be regarded as traitors.”",Ninguno
I_Kings,1,22,והנה עודנה מדברת עםהמלך ונתן הנביא בא,She was still talking to the king when the prophet Nathan arrived.,Ninguno
I_Kings,1,23,ויגידו למלך לאמר הנה נתן הנביא ויבא לפני המלך וישתחו למלך עלאפיו ארצה,"They announced to the king, “The prophet Nathan is here,” and he entered the king’s presence. Bowing low to the king with his face to the ground, ",Ninguno
I_Kings,1,24,ויאמר נתן אדני המלך אתה אמרת אדניהו ימלך אחרי והוא ישב עלכסאי,"Nathan said, “O lord king, you must have said,hyou must have said Or (cf. Rashi, Ralbag, Radak) “have you said…?” ‘Adonijah shall succeed me as king and he shall sit upon my throne.’ ",Ninguno
I_Kings,1,25,כי&thinsp;<b></b> ירד היום ויזבח שור ומריאוצאן לרב ויקרא לכלבני המלך ולשרי הצבא ולאביתר הכהן והנם אכלים ושתים לפניו ויאמרו יחי המלך אדניהו,"For he has gone down today and prepared a sacrificial feast of a great many oxen, fatlings, and sheep. He invited all the king’s sons and the army officers and Abiathar the priest. At this very moment they are eating and drinking with him, and they are shouting, ‘Long live King Adonijah!’ ",Ninguno
I_Kings,1,26,ולי אניעבדך ולצדק הכהן ולבניהו בןיהוידע ולשלמה עבדך לא קרא,"But he did not invite me your servant, or the priest Zadok, or Benaiah son of Jehoiada, or your servant Solomon. ",Percepción (Yada)
I_Kings,1,27,"אם מאת אדני המלך נהיה הדבר הזה ולא הודעת את<span class=""mam-kq""><span class=""mam-kq-q"">[עבדך]</span> <span class=""mam-kq-k"">(עבדיך)</span></span> מי ישב עלכסא אדניהמלך אחריו&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Can this decision have come from my lord the king, without your telling your servant who is to succeed to the throne of my lord the king?”",Ninguno
I_Kings,1,28,ויען המלך דוד ויאמר קראולי לבתשבע ותבא לפני המלך ותעמד לפני המלך,King David’s response was: “Summon Bathsheba!” She entered the king’s presence and stood before the king.,Ninguno
I_Kings,1,29,וישבע המלך ויאמר חייהוה אשרפדה אתנפשי מכלצרה,"And the king took an oath, saying, “As GOD lives, who has rescued me from every trouble: ",Ninguno
I_Kings,1,30,כי כאשר נשבעתי לך ביהוה אלהי ישראל לאמר כישלמה בנך ימלך אחרי והוא ישב עלכסאי תחתי כי כן אעשה היום הזה,"The oath I swore to you by the ETERNAL, the God of Israel, that your son Solomon should succeed me as king and that he should sit upon my throne in my stead, I will fulfill this very day!” ",Ninguno
I_Kings,1,31,"ותקד בתשבע אפים ארץ ותשתחו למלך ותאמר יחי אדני המלך דוד לעלם&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Bathsheba bowed low in homage to the king with her face to the ground, and she said, “May my lord King David live forever!”",Ninguno
I_Kings,1,32,ויאמר&thinsp;<b></b> המלך דוד קראולי לצדוק הכהן ולנתן הנביא ולבניהו בןיהוידע ויבאו לפני המלך,"Then King David said, “Summon to me the priest Zadok, the prophet Nathan, and Benaiah son of Jehoiada.” When they came before the king, ",Percepción (Yada)
I_Kings,1,33,ויאמר המלך להם קחו עמכם אתעבדי אדניכם והרכבתם אתשלמה בני עלהפרדה אשרלי והורדתם אתו אלגחון,"the king said to them, “Take my loyal soldiers,imy loyal soldiers Lit. “your lord’s men.” and have my son Solomon ride on my mule and bring him down to Gihon. ",Ninguno
I_Kings,1,34,ומשח אתו שם צדוק הכהן ונתן הנביא למלך עלישראל ותקעתם בשופר ואמרתם יחי המלך שלמה,"Let the priest Zadok and the prophet Nathan anoint him there king over Israel, whereupon you shall sound the horn and shout, ‘Long live King Solomon!’ ",Ninguno
I_Kings,1,35,ועליתם אחריו ובא וישב עלכסאי והוא ימלך תחתי ואתו צויתי להיות נגיד עלישראל ועליהודה,"Then march up after him, and let him come in and sit on my throne. For he shall succeed me as king; him I designate to be ruler of Israel and Judah.” ",Ninguno
I_Kings,1,36,ויען בניהו בןיהוידע אתהמלך ויאמר&thinsp;<small></small>&thinsp;אמן כן יאמר יהוה אלהי אדני המלך,"Benaiah son of Jehoiada spoke up and said to the king, “Amen! And may the ETERNAL, the God of my lord the king, so ordain. ",Percepción (Yada)
I_Kings,1,37,"כאשר היה יהוה עםאדני המלך כן <span class=""mam-kq""><span class=""mam-kq-k"">(יהי)</span> <span class=""mam-kq-q"">[יהיה]</span></span> עםשלמה ויגדל אתכסאו מכסא אדני המלך דוד","As GOD was with my lord the king, so may it be with Solomon; and may his throne be exalted even higher than the throne of my lord King David.”",Ninguno
I_Kings,1,38,וירד צדוק הכהן ונתן הנביא ובניהו בןיהוידע והכרתי והפלתי וירכבו אתשלמה עלפרדת המלך דוד וילכו אתו עלגחון,"Then the priest Zadok, and the prophet Nathan, and Benaiah son of Jehoiada went down with the Cherethites and the Pelethites. They had Solomon ride on King David’s mule and they led him to Gihon. ",Percepción (Yada)
I_Kings,1,39,ויקח צדוק הכהן אתקרן השמן מןהאהל וימשח אתשלמה ויתקעו בשופר ויאמרו כלהעם יחי המלך שלמה,"The priest Zadok took the horn of oil from the Tent and anointed Solomon. They sounded the horn and all the people shouted, “Long live King Solomon!” ",Ninguno
I_Kings,1,40,ויעלו כלהעם אחריו והעם מחללים בחללים ושמחים שמחה גדולה ותבקע הארץ בקולם,"All the people then marched up behind him, playing on flutes and making merry till the earth was split open by the uproar.",Ninguno
I_Kings,1,41,וישמע אדניהו וכלהקראים אשר אתו והם כלו לאכל וישמע יואב אתקול השופר ויאמר מדוע קולהקריה הומה,"Adonijah and all the guests who were with him, who had just finished eating, heard it. When Joab heard the sound of the horn, he said, “Why is the city in such an uproar?” ",Ninguno
I_Kings,1,42,עודנו מדבר והנה יונתן בןאביתר הכהן בא ויאמר אדניהו בא כי איש חיל אתה וטוב תבשר,"He was still speaking when the priest Jonathan son of Abiathar arrived. “Come in,” said Adonijah. “You are a worthy man, and you surely bring good news.” ",Ninguno
I_Kings,1,43,ויען יונתן ויאמר לאדניהו אבל אדנינו המלךדוד המליך אתשלמה,"But Jonathan replied to Adonijah, “Alas, our lord King David has made Solomon king! ",Ninguno
