Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Isaiah,1,1,חזון ישעיהו בןאמוץ אשר חזה עליהודה וירושל͏ם בימי עזיהו יותם אחז יחזקיהו מלכי יהודה,"The prophecies of Isaiah son of Amoz, who prophesied concerning Judah and Jerusalem in the reigns of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.",Ninguno
Isaiah,1,2,שמעו שמים והאזיני ארץ כי יהוה דבר בנים גדלתי ורוממתי והם פשעו בי,"Hear, O heavens, and give ear, O earth,For  GOD has spoken:“I reared children and brought them up—And they have rebelled against Me!",Ninguno
Isaiah,1,3,ידע שור קנהו וחמור אבוס בעליו ישראל לא ידע עמי לא התבונן,"An ox knows its owner,A donkey its master’s crib:Israel does not know,My people takes no thought.”",Percepción (Yada)
Isaiah,1,4,הוי&thinsp;<b></b> גוי חטא עם כבד עון זרע מרעים בנים משחיתים עזבו אתיהוה נאצו אתקדוש ישראל נזרו אחור,"Ah, sinful nation!People laden with iniquity!Brood of evildoers!Depraved children!They have forsaken  GOD,Spurned the Holy One of Israel,Turned their backs.",Ninguno
Isaiah,1,5,על מה תכו עוד תוסיפו סרה כלראש לחלי וכללבב דוי,"Why do you seek further beatings,That you continue to offend?Every head is ailing,And every heart is sick.",Ninguno
Isaiah,1,6,מכףרגל ועדראש איןבו מתם פצע וחבורה ומכה טריה לאזרו ולא חבשו ולא רככה בשמן,"From head to footNo spot is sound:All bruises, and welts,And festering sores—Not pressed out, not bound up,Not softened with oil.",Ninguno
Isaiah,1,7,ארצכם שממה עריכם שרפות אש אדמתכם לנגדכם זרים אכלים אתה ושממה כמהפכת זרים,"Your land is a waste,Your cities burnt down;Before your eyes, the yield of your soilIs consumed by strangers—A wasteland as overthrown by strangers!aas overthrown by strangers Emendation yields “like Sodom overthrown.” ",Ninguno
Isaiah,1,8,ונותרה בתציון כסכה בכרם כמלונה במקשה כעיר נצורה,"FairbFair Lit. “Daughter.” Zion is leftLike a booth in a vineyard,Like a hut in a cucumber field,Like a city beleaguered.",Ninguno
Isaiah,1,9,"לולי יהוה צבאות הותיר לנו שריד כמעט כסדם היינו לעמרה דמינו&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Had not  GOD of HostsLeft us some survivors,We should be like Sodom,Another Gomorrah.",Ninguno
Isaiah,1,10,שמעו דבריהוה קציני סדם האזינו תורת אלהינו עם עמרה,"Hear the word of  GOD,You chieftains of Sodom;Give ear to our God’s instruction,You folk of Gomorrah!",Ninguno
