Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Jeremiah,1,1,דברי ירמיהו בןחלקיהו מןהכהנים אשר בענתות בארץ בנימן,"The words of Jeremiah son of Hilkiah, one of the priests at Anathoth in the territory of Benjamin. ",Ninguno
Jeremiah,1,2,אשר היה דבריהוה אליו בימי יאשיהו בןאמון מלך יהודה בשלשעשרה שנה למלכו,"The word of GOD came to him in the days of King Josiah son of Amon of Judah, in the thirteenth year of his reign, ",Ninguno
Jeremiah,1,3,"ויהי בימי יהויקים בןיאשיהו מלך יהודה עדתם עשתי עשרה שנה לצדקיהו בןיאשיהו מלך יהודה עדגלות ירושל͏ם בחדש החמישי&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","and throughout the days of King Jehoiakim son of Josiah of Judah, and until the end of the eleventh year of King Zedekiah son of Josiah of Judah, when Jerusalem went into exile in the fifth month.",Ninguno
Jeremiah,1,4,ויהי דבריהוה אלי לאמר,The word of GOD came to me:,Ninguno
Jeremiah,1,5,"בטרם <span class=""mam-kq""><span class=""mam-kq-k"">(אצורך)</span> <span class=""mam-kq-q"">[אצרך]</span></span> בבטן ידעתיך ובטרם תצא מרחם הקדשתיך נביא לגוים נתתיך","Before I created you in the womb, I selected you;Before you were born, I consecrated you;I appointed you a prophet concerning the nations.",Percepción (Yada)
Jeremiah,1,6,"ואמר אהה אדני יהוה הנה לאידעתי דבר כינער אנכי&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","I replied:Ah, my Sovereign  GOD!I don’t know how to speak,For I am still a boy.",Percepción (Yada)
Jeremiah,1,7,ויאמר יהוה אלי אלתאמר נער אנכי כי עלכלאשר אשלחך תלך ואת כלאשר אצוך תדבר,"And  GOD said to me:Do not say, “I am still a boy,”But go wherever I send youAnd speak whatever I command you.",Ninguno
Jeremiah,1,8,אלתירא מפניהם כיאתך אני להצלך נאםיהוה,"Have no fear of them,For I am with you to deliver you—declares  GOD.",Ninguno
Jeremiah,1,9,וישלח יהוה אתידו ויגע עלפי ויאמר יהוה אלי הנה נתתי דברי בפיך,"GOD
 reached out and touched my mouth, and GOD said to me: Herewith I put My words into your mouth.",Ninguno
Jeremiah,1,10,"ראה הפקדתיך&thinsp;<b></b> היום הזה עלהגוים ועלהממלכות לנתוש ולנתוץ ולהאביד ולהרוס לבנות ולנטוע&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","See, I appoint you this dayOver nations and kingdoms:To uproot and to pull down,To destroy and to overthrow,To build and to plant.",Ninguno
Jeremiah,1,11,ויהי דבריהוה אלי לאמר מהאתה ראה ירמיהו ואמר מקל שקד אני ראה,"The word of GOD came to me: What do you see, Jeremiah? I replied: I see a branch of an almond tree.aalmond tree Heb. shaqed. ",Ninguno
Jeremiah,1,12,"ויאמר יהוה אלי היטבת לראות כישקד אני עלדברי לעשתו&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;"," 
GOD
  said to me:You have seen right,For I am watchfulbwatchful Heb. shoqed. to bring My word to pass.",Ninguno
Jeremiah,1,13,ויהי דבריהוה&thinsp;<small></small>&thinsp;אלי שנית לאמר מה אתה ראה ואמר סיר נפוח אני ראה ופניו מפני צפונה,"And the word of GOD came to me a second time: What do you see? I replied:I see a steaming pot,Tipped away from the north.cTipped away from the north Meaning of Heb. uncertain. ",Ninguno
Jeremiah,1,14,ויאמר יהוה אלי מצפון תפתח הרעה על כלישבי הארץ,And  GOD said to me:From the north shall disaster break looseUpon all the inhabitants of the land!,Ninguno
Jeremiah,1,15,כי&thinsp;<b></b> הנני קרא לכלמשפחות ממלכות צפונה נאםיהוה ובאו ונתנו איש כסאו פתח&thinsp;<b></b> שערי ירושל͏ם ועל כלחומתיה סביב ועל כלערי יהודה,"For I am summoning all the peoplesOf the kingdoms of the north—declares  GOD.They shall come, and shall each set up a throneBefore the gates of Jerusalem,Against its walls round about,And against all the towns of Judah.",Ninguno
Jeremiah,1,16,ודברתי משפטי אותם על כלרעתם אשר עזבוני ויקטרו לאלהים אחרים וישתחוו למעשי ידיהם,"And I will argue My case against themdthem I.e., Jerusalem and Judah. For all their wickedness:They have forsaken MeAnd sacrificed to other godsAnd worshiped the works of their hands.",Ninguno
