Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Joel,1,1,דבריהוה אשר היה אליואל בןפתואל,The word of GOD that came to Joel son of Pethuel.,Ninguno
Joel,1,2,שמעוזאת הזקנים והאזינו כל יושבי הארץ ההיתה זאת בימיכם ואם בימי אבתיכם,"Listen to this, O elders,Give ear, all inhabitants of the land.Has the like of this happened in your daysOr in the days of your ancestors?",Ninguno
Joel,1,3,עליה לבניכם ספרו ובניכם לבניהם ובניהם לדור אחר,"Tell your children about it,And let your children tell theirs,And their children the next generation!",Ninguno
Joel,1,4,יתר הגזם אכל הארבה ויתר הארבה אכל הילק ויתר הילק אכל החסיל,"What the cutter has left, the locust has devoured;What the locust has left, the grub has devoured;And what the grub has left, the hopper has devoured.acutter…locust…grub…hopper The meaning of the corresponding Heb. terms is uncertain; they probably designate stages in the locust’s development. ",Ninguno
Joel,1,5,הקיצו שכורים ובכו והיללו כלשתי יין עלעסיס כי נכרת מפיכם,"Wake up, you drunkards, and weep,Wail, all you swillers of wine—For the new wine that is denied you!bdenied you Lit. “cut off from your mouth.” ",Ninguno
Joel,1,6,כיגוי עלה עלארצי עצום ואין מספר שניו שני אריה ומתלעות לביא לו,"For a nation has invaded my land,Vast beyond counting,With teeth like the teeth of a lion,With the fangs of a lion’s breed.",Ninguno
Joel,1,7,שם גפני לשמה ותאנתי לקצפה חשף חשפה והשליך הלבינו שריגיה,They have laid my vines wasteAnd splintered my fig trees:They have stripped off their bark and thrown [it] away;Their runners have turned white.,Ninguno
Joel,1,8,אלי כבתולה חגרתשק עלבעל נעוריה,Lament—like a maiden girt with sackclothFor the husband of her youth!,Ninguno
Joel,1,9,הכרת מנחה ונסך מבית יהוה אבלו הכהנים משרתי יהוה,Offering and libation have ceasedFrom the House of  GOD;The priests must mournWho minister to  GOD.,Ninguno
Joel,1,10,שדד שדה אבלה אדמה כי שדד דגן הוביש תירוש אמלל יצהר,"The country is ravaged,The ground must mourn;For the new grain is ravaged,The new wine is dried up,The new oil has failed.",Ninguno
Joel,1,11,הבישו אכרים הילילו כרמים עלחטה ועלשערה כי אבד קציר שדה,Farmers are dismayedAnd vine dressers wailOver wheat and barley;For the crops of the field are lost.,Ninguno
Joel,1,12,"הגפן הובישה והתאנה אמללה רמון גםתמר ותפוח כלעצי השדה יבשו כיהביש ששון מןבני אדם&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The vine has dried up,The fig tree withers,Pomegranate, palm, and apple—All the trees of the field are sear.And joy has dried upAmong the people.",Ninguno
