Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Joshua,1,1,ויהי אחרי מות משה עבד יהוה ויאמר יהוה אליהושע בןנון משרת משה לאמר,"After the death of Moses the servant of GOD, GOD said to Joshua son of Nun, Moses’ attendant:",Ninguno
Joshua,1,2,משה עבדי מת ועתה קום עבר אתהירדן הזה אתה וכלהעם הזה אלהארץ אשר אנכי נתן להם לבני ישראל,"“My servant Moses is dead. Prepare to cross the Jordan, together with all this people, into the land that I am giving to the Israelites. ",Ninguno
Joshua,1,3,כלמקום אשר תדרך כףרגלכם בו לכם נתתיו כאשר דברתי אלמשה,"Every spot on which your foot treads I give to you, as I promised Moses. ",Ninguno
Joshua,1,4,מהמדבר והלבנון הזה ועדהנהר הגדול נהרפרת כל ארץ החתים ועדהים הגדול מבוא השמש יהיה גבולכם,"Your territory shall extend from the wilderness and the Lebanon to the Great River, the River Euphrates [on the east]—the whole Hittite country—and up to the MediterraneanaMediterranean Heb. “Great.” Sea on the west. ",Ninguno
Joshua,1,5,לאיתיצב איש לפניך כל ימי חייך כאשר הייתי עםמשה אהיה עמך לא ארפך ולא אעזבך,"No one shall be able to resist you as long as you live. As I was with Moses, so I will be with you; I will not fail you or forsake you.",Ninguno
Joshua,1,6,חזק ואמץ כי אתה תנחיל אתהעם הזה אתהארץ אשרנשבעתי לאבותם לתת להם,"“Be strong and resolute, for you shall apportion to this people the land that I swore to their fathersbfathers Abraham, Isaac, and Jacob; see Gen. 24.7; 26.3; 50.24; Deut. 1.8. to assign to them. ",Ninguno
Joshua,1,7,רק חזק ואמץ מאד לשמר לעשות ככלהתורה אשר צוך משה עבדי אלתסור ממנו ימין ושמאול למען תשכיל בכל אשר תלך,"But you must be very strong and resolute to observe faithfully all the Teaching that My servant Moses enjoined upon you. Do not deviate from it to the right or to the left, that you may be successful wherever you go. ",Control/Derecha (Yamin)
Joshua,1,8,לאימוש ספר התורה הזה מפיך והגית בו יומם ולילה למען תשמר לעשות ככלהכתוב בו כיאז תצליח אתדרכך ואז תשכיל,"Let not this Book of the Teaching cease from your lips, but recite it day and night, so that you may observe faithfully all that is written in it. Only then will you prosper in your undertakings and only then will you be successful.",Ninguno
Joshua,1,9,"הלוא צויתיך חזק ואמץ אלתערץ ואלתחת כי עמך יהוה אלהיך בכל אשר תלך&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","“I charge you: Be strong and resolute; do not be terrified or dismayed, for the ETERNAL your God is with you wherever you go.”",Ninguno
Joshua,1,10,ויצו יהושע אתשטרי העם לאמר,Joshua thereupon gave orders to the officials of the people:,Ninguno
