Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Lamentations,1,1,"איכה&thinsp;<b></b> ישבה בדד העיר רבתי עם היתה כאלמנה רבתי בגוים שרתי במדינות היתה למס&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","אaChaps. 1–4 are alphabetical acrostics, i.e., the verses begin with the successive letters of the Heb. alphabet. Chap. 3 is a triple acrostic. In chaps. 2–4 the letter pe precedes the ʻayin. Alas!Lonely sits the cityOnce great with people!She that was great among nationsIs become like a widow;The princess among statesIs become a thrall. ",Ninguno
Lamentations,1,2,"בכו תבכה בלילה ודמעתה על לחיה איןלה מנחם מכלאהביה כלרעיה בגדו בה היו לה לאיבים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ב Bitterly she weeps in the night,Her cheek wet with tears.There is none to comfort herOf all her friends.bfriends Or “lovers,” i.e., political allies. All her allies have betrayed her;They have become her foes. ",Ninguno
Lamentations,1,3,"גלתה יהודה מעני ומרב עבדה היא ישבה בגוים לא מצאה מנוח כלרדפיה השיגוה בין המצרים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ג Judah has gone into exileBecause of misery and harsh oppression;When she settled among the nations,She found no rest;All her pursuers overtook herIn the narrow places.cIn the narrow places Meaning of Heb. uncertain.  ",Separación (Beyn)
Lamentations,1,4,"דרכי ציון אבלות מבלי באי מועד כלשעריה שוממין כהניה נאנחים בתולתיה נוגות והיא מרלה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ד Zion’s roads are in mourning,Empty of festival pilgrims;All her gates are deserted.Her priests sigh,Her maidens are unhappy—She is utterly disconsolate! ",Ninguno
Lamentations,1,5,"היו צריה לראש איביה שלו כייהוה הוגה על רבפשעיה עולליה הלכו שבי לפניצר&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ה Her enemies are now the masters,Her foes are at ease,Because GOD has afflicted herFor her many transgressions;Her infants have gone into captivityBefore the enemy. ",Ninguno
Lamentations,1,6,"ויצא <span class=""mam-kq""><span class=""mam-kq-k"">(מן בת)</span> <span class=""mam-kq-q"">[מבת]</span></span>ציון כלהדרה היו שריה כאילים לאמצאו מרעה וילכו בלאכח לפני רודף&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",ו Gone from Fair Zion are allThat were her glory;Her leaders were like stagsThat found no pasture;They could only walk feeblyBefore the pursuer. ,Ninguno
Lamentations,1,7,"זכרה ירושל͏ם ימי עניה ומרודיה כל מחמדיה אשר היו מימי קדם בנפל עמה בידצר ואין עוזר לה ראוה צרים שחקו על משבתה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ז All that she treasuredIn the days of oldJerusalem recalledIn her days of woe and sorrow,When her people fell by enemy handsWith none to help her;When enemies looked on and gloatedOver her downfall. ",Ninguno
Lamentations,1,8,"חטא חטאה ירושל͏ם עלכן לנידה היתה כלמכבדיה הזילוה כיראו ערותה גםהיא נאנחה ותשב אחור&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ח Jerusalem has greatly sinned,Therefore she is become a mockery.All who admired her despise her,For they have seen her disgraced;ddisgraced Lit. “nakedness,” i.e., her shame. And she can only sighAnd shrink back. ",Ninguno
Lamentations,1,9,"טמאתה בשוליה לא זכרה אחריתה ותרד פלאים אין מנחם לה ראה יהוה אתעניי כי הגדיל אויב&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ט Her impurityeimpurity I.e., her moral guilt or the impurity of sexual immorality; cf. Jer. 2.22. clings to her skirts.She gave no thought to her future;She has sunk appallingly,With none to comfort her.—“See, O ETERNAL One, my misery;How the enemy jeers!” ",Ninguno
Lamentations,1,10,"ידו פרש צר על כלמחמדיה כיראתה גוים באו מקדשה אשר צויתה לאיבאו בקהל לך&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",י The foe has laid handsOn everything dear to her.She has seen her SanctuaryInvaded by nationsThat You have denied admissionInto Your community. ,Ninguno
