Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Leviticus,1,1,ויקר<small>א</small> אלמשה וידבר יהוה אליו מאהל מועד לאמר,"[GOD] called to Moses and spoke to him from the Tent of Meeting, saying: ",Ninguno
Leviticus,1,2,דבר אלבני ישראל ואמרת אלהם אדם כייקריב מכם קרבן ליהוה מןהבהמה מןהבקר ומןהצאן תקריבו אתקרבנכם,"Speak to the Israelite people, and say to them:When any of you presents an offering of cattle to GOD: You shall choose your offering from the herd or from the flock.",Ninguno
Leviticus,1,3,אםעלה קרבנו מןהבקר זכר תמים יקריבנו אלפתח אהל מועד יקריב אתו לרצנו לפני יהוה,"If yourayour In this chapter, Heb. 3rd-person references to the offerer are rendered in the 2nd person, in accord with v. 2. offering is a burnt offering from the herd, you shall make your offering a male without blemish. You shall bring it to the entrance of the Tent of Meeting, for acceptance in your behalf before GOD. ",Ninguno
Leviticus,1,4,וסמך ידו על ראש העלה ונרצה לו לכפר עליו,"You shall lay a hand upon the head of the burnt offering, that it may be acceptable in your behalf, in expiation for you. ",Ninguno
Leviticus,1,5,ושחט אתבן הבקר לפני יהוה והקריבו בני אהרן הכהנים אתהדם וזרקו אתהדם עלהמזבח סביב אשרפתח אהל מועד,"The bull shall be slaughtered before GOD; and Aaron’s sons, the priests, shall offer the blood, dashing the blood against all sides of the altar that is at the entrance of the Tent of Meeting. ",Ninguno
Leviticus,1,6,והפשיט אתהעלה ונתח אתה לנתחיה,The burnt offering shall be flayed and cut up into sections.,Ninguno
Leviticus,1,7,ונתנו בני אהרן הכהן אש עלהמזבח וערכו עצים עלהאש,The sons of Aaron the priest shall put fire on the altar and lay out wood upon the fire;,Ninguno
Leviticus,1,8,וערכו בני אהרן הכהנים את הנתחים אתהראש ואתהפדר עלהעצים אשר עלהאש אשר עלהמזבח,"and Aaron’s sons, the priests, shall lay out the sections, with the head and the suet, on the wood that is on the fire upon the altar. ",Ninguno
Leviticus,1,9,"וקרבו וכרעיו ירחץ במים והקטיר הכהן אתהכל המזבחה עלה אשה ריחניחוח ליהוה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Its entrails and legs shall be washed with water, and the priest shall turn the whole into smoke on the altar as a burnt offering, an offering by fire of pleasing odor to GOD.",Ninguno
Leviticus,1,10,ואםמןהצאן קרבנו מןהכשבים או מןהעזים לעלה זכר תמים יקריבנו,"If your offering for a burnt offering is from the flock, of sheep or of goats, you shall make your offering a male without blemish. ",Ninguno
Leviticus,1,11,ושחט אתו על ירך המזבח צפנה לפני יהוה וזרקו בני אהרן הכהנים אתדמו עלהמזבח סביב,"It shall be slaughtered before GOD on the north side of the altar, and Aaron’s sons, the priests, shall dash its blood against all sides of the altar. ",Ninguno
Leviticus,1,12,ונתח אתו לנתחיו ואתראשו ואתפדרו וערך הכהן אתם עלהעצים אשר עלהאש אשר עלהמזבח,"When it has been cut up into sections, the priest shall lay them out, with the head and the suet, on the wood that is on the fire upon the altar. ",Ninguno
Leviticus,1,13,"והקרב והכרעים ירחץ במים והקריב הכהן אתהכל והקטיר המזבחה עלה הוא אשה ריח ניחח ליהוה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","The entrails and the legs shall be washed with water; the priest shall offer up and turn the whole into smoke on the altar. It is a burnt offering, an offering by fire, of pleasing odor to GOD.",Ninguno
Leviticus,1,14,ואם מןהעוף עלה קרבנו ליהוה והקריב מןהתרים או מןבני היונה אתקרבנו,"If your offering to GOD is a burnt offering of birds, you shall choose your offering from turtledoves or pigeons. ",Ninguno
Leviticus,1,15,והקריבו הכהן אלהמזבח ומלק אתראשו והקטיר המזבחה ונמצה דמו על קיר המזבח,"The priest shall bring it to the altar, pinch off its head, and turn it into smoke on the altar; and its blood shall be drained out against the side of the altar. ",Ninguno
Leviticus,1,16,והסיר אתמראתו בנצתה והשליך אתה אצל המזבח קדמה אלמקום הדשן,"He shall remove its crop with its contents,bcrop with its contents Or “crissum by its feathers.” and cast it into the place of the ashes, at the east side of the altar. ",Ninguno
Leviticus,1,17,"ושסע אתו בכנפיו לא יבדיל והקטיר אתו הכהן המזבחה עלהעצים אשר עלהאש עלה הוא אשה ריח ניחח ליהוה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The priest shall tear it open by its wings, without severing it, and turn it into smoke on the altar, upon the wood that is on the fire. It is a burnt offering, an offering by fire, of pleasing odor to GOD.",Ninguno
Leviticus,2,1,ונפש כיתקריב קרבן מנחה ליהוה סלת יהיה קרבנו ויצק עליה שמן ונתן עליה לבנה,"When a person presents an offering of grain to GOD: The offering shall be of choice flour; [the offerer] shall pour oil upon it, lay frankincense on it, ",Ninguno
Leviticus,2,2,והביאה אלבני אהרן הכהנים וקמץ משם מלא קמצו מסלתה ומשמנה על כללבנתה והקטיר הכהן אתאזכרתה המזבחה אשה ריח ניחח ליהוה,"and present it to Aaron’s sons, the priests. The priest shall scoop out of it a handful of its choice flour and oil, as well as all of its frankincense; and this token portion he shall turn into smoke on the altar, as an offering by fire, of pleasing odor to GOD. ",Ninguno
Leviticus,2,3,"והנותרת מןהמנחה לאהרן ולבניו קדש קדשים מאשי יהוה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","And the remainder of the grain offering shall be for Aaron and his sons, a most holy portion from GOD’s offerings by fire.",Ninguno
Leviticus,2,4,"וכי תקרב קרבן מנחה מאפה תנור סלת חלות מצת בלולת בשמן ורקיקי מצות משחים בשמן&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","When you present an offering of grain baked in the oven, [it shall be of] choice flour: unleavened cakes with oil mixed in, or unleavened wafers spread with oil.",Ninguno
Leviticus,2,5,ואםמנחה עלהמחבת קרבנך סלת בלולה בשמן מצה תהיה,"If your offering is a grain offering on a griddle, it shall be of choice flour with oil mixed in, unleavened. ",Ninguno
