Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Malachi,1,1,משא דבריהוה אלישראל ביד מלאכי,A pronouncement: The word of GOD to Israel through Malachi.,Ninguno
Malachi,1,2,אהבתי אתכם אמר יהוה ואמרתם במה אהבתנו הלואאח עשו ליעקב נאםיהוה ואהב אתיעקב,"I have shown you love, said GOD. But you ask, “How have You shown us love?” After all—declares GOD—Esau is Jacob’s brother; yet I have accepted Jacob ",Ninguno
Malachi,1,3,ואתעשו שנאתי ואשים אתהריו שממה ואתנחלתו לתנות מדבר,"and have rejected Esau. I have made his hills a desolation, his territory a home for beastsaa home for beasts Meaning of Heb. uncertain. of the desert. ",Ninguno
Malachi,1,4,כיתאמר אדום רששנו ונשוב ונבנה חרבות כה אמר יהוה צבאות המה יבנו ואני אהרוס וקראו להם גבול רשעה והעם אשרזעם יהוה עדעולם,"If Edom thinks, “Though crushed, we can build the ruins again,” thus said GOD of Hosts: They may build, but I will tear down. And so they shall be known as the region of wickedness, the people damned forever of GOD. ",Ninguno
Malachi,1,5,ועיניכם תראינה ואתם תאמרו יגדל יהוה מעל לגבול ישראל,"Your eyes shall behold it, and you shall declare, “Great is GOD beyond the borders of Israel!”",Ninguno
Malachi,1,6,בן יכבד אב ועבד אדניו ואםאב אני איה כבודי ואםאדונים אני איה מוראי אמר&thinsp;<b></b> יהוה צבאות לכם הכהנים בוזי שמי ואמרתם במה בזינו אתשמך,"A son should honor his father, and a slavebslave Septuagint and Targum add “should reverence”; cf. next part of verse. his master. Now if I were a father, where would be the honor due Me? And if I were a master, where would be the reverence due Me?—said GOD of Hosts to you, O priests who scorn My name. But you ask, “How have we scorned Your name?” ",Ninguno
Malachi,1,7,מגישים עלמזבחי לחם מגאל ואמרתם במה גאלנוך באמרכם שלחן יהוה נבזה הוא,"You offer defiled food on My altar. But you ask, “How have we defiled You?”cYou Septuagint “it.” By saying, “GOD’s table can be treated with scorn.” ",Ninguno
Malachi,1,8,וכיתגישון עור לזבח אין רע וכי תגישו פסח וחלה אין רע הקריבהו נא לפחתך הירצך או הישא פניך אמר יהוה צבאות,When you present a blind animal for sacrifice—it doesn’t matter! When you present a lame or sick one—it doesn’t matter! Just offer it to your governor: Will he accept you? Will he show you favor?—said GOD of Hosts.,Ninguno
Malachi,1,9,ועתה חלונא פניאל ויחננו מידכם היתה זאת הישא מכם פנים אמר יהוה צבאות,And now implore the favor of God! Will compassion be shown to us? This is what you have done—will any of you be accepted?  GOD  of Hosts has said:,Ninguno
Malachi,1,10,מי גםבכם ויסגר דלתים ולאתאירו מזבחי חנם איןלי חפץ בכם אמר יהוה צבאות ומנחה לאארצה מידכם,"If only you would lock My doors, and not kindle fire on My altar to no purpose! I take no pleasure in you—said GOD of Hosts—and I will accept no offering from you. ",Ninguno
Malachi,1,11,כי ממזרחשמש ועדמבואו גדול שמי בגוים ובכלמקום מקטר מגש לשמי ומנחה טהורה כיגדול שמי בגוים אמר יהוה צבאות,"For from where the sun rises to where it sets, My name is honored among the nations, and everywhere incense and pure oblation are offered to My name; for My name is honored among the nations—said GOD of Hosts. ",Ninguno
Malachi,1,12,ואתם מחללים אותו באמרכם שלחן אדני מגאל הוא וניבו נבזה אכלו,"But you profane it when you say, “The table of the Sovereign is defiled and the meat,dmeat Meaning of Heb. uncertain. the food, can be treated with scorn.” ",Ninguno
