Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Micah,1,1,דבריהוה&thinsp;<b></b> אשר היה אלמיכה המרשתי בימי יותם אחז יחזקיה מלכי יהודה אשרחזה עלשמרון וירושל͏ם,"The word of GOD that came to Micah the Morashtite, who prophesied concerning Samaria and Jerusalem in the reigns of Kings Jotham, Ahaz, and Hezekiah of Judah.",Ninguno
Micah,1,2,שמעו עמים כלם הקשיבי ארץ ומלאה ויהי אדני יהוה בכם לעד אדני מהיכל קדשו,"Listen, all you peoples,Give heed, O earth, and all it holds;And let the Sovereign  GOD be your accuser—The Sovereign from the holy abode.",Ninguno
Micah,1,3,"כיהנה יהוה יצא ממקומו וירד ודרך על<span class=""mam-kq""><span class=""mam-kq-q"">[במתי]</span> <span class=""mam-kq-k"">(במותי)</span></span> ארץ",For lo!  GOD Is coming forth from the heavenlyathe heavenly Lit. “His.” dwelling-place—To come down and strideUpon the heights of the earth.,Ninguno
Micah,1,4,ונמסו ההרים תחתיו והעמקים יתבקעו כדונג מפני האש כמים מגרים במורד,"The mountains shall melt underfootAnd the valleys burst open—Like wax before fire,Like water cascading down a slope.",Ninguno
Micah,1,5,בפשע יעקב כלזאת ובחטאות בית ישראל מיפשע יעקב הלוא שמרון ומי במות יהודה הלוא ירושל͏ם,"All this is for the transgression of Jacob,And for the sins of the House of Israel.What is the transgression of JacobBut Samaria,And what the shrinesbshrines Emendation yields “sins.” of JudahBut Jerusalem?",Ninguno
Micah,1,6,ושמתי שמרון לעי השדה למטעי כרם והגרתי לגי אבניה ויסדיה אגלה,"So I will turn SamariaInto a ruin in open country,Into ground for planting vineyards;For I will tumble her stones into the valleyAnd lay her foundations bare.",Ninguno
Micah,1,7,וכלפסיליה יכתו וכלאתנניה ישרפו באש וכלעצביה אשים שממה כי מאתנן זונה קבצה ועדאתנן זונה ישובו,"All her sculptured images shall be smashed,And all her prostitute’s wealthcher prostitute’s wealth I.e., the bounty of offerings dedicated to idols. be burned,And I will make a waste heap of all her idols,For they were amassed from fees for prostitution,And they shall become prostitute’s fees again.",Ninguno
Micah,1,8,"עלזאת אספדה ואילילה אילכה <span class=""mam-kq""><span class=""mam-kq-k"">(שילל)</span> <span class=""mam-kq-q"">[שולל]</span></span> וערום אעשה מספד כתנים ואבל כבנות יענה","Because of this I will lament and wail;I will go stripped and naked!I will lament as sadly as the jackals,As mournfully as the ostriches.",Ninguno
Micah,1,9,כי אנושה מכותיה כיבאה עדיהודה נגע עדשער עמי עדירושל͏ם,"For the nation’sdthe nation’s Heb. “her.” wound is incurable,It has reached Judah,It has spread to the gate of my people,To Jerusalem.",Ninguno
Micah,1,10,"בגת אלתגידו בכו אלתבכו בבית לעפרה עפר <span class=""mam-kq""><span class=""mam-kq-k"">(התפלשתי)</span> <span class=""mam-kq-q"">[התפלשי]</span></span>","eMeaning of much of vv. 10–13 uncertain. They may refer to the transfer of part of western Judah to Philistine rule by Sennacherib of Assyria in the year 701 BCE. Tell it not in Gath,Refrain from weeping;fTell it not … weeping So that enemies may not gloat; cf. 2 Sam. 1.20. In Beth-leaphrah,Strew dustgdust Heb. ʻaphar, a play on Beth-leaphrah; vv. 10–15 contain several similar puns. over your [head].",Ninguno
Micah,1,11,עברי לכם יושבת שפיר עריהבשת לא יצאה יושבת צאנן מספד בית האצל יקח מכם עמדתו,"Pass on, inhabitants of Shaphir!Did not the inhabitants of ZaananHave to go forth naked in shame?There is lamentation in Beth-ezel—It will withdraw its support from you.",Ninguno
Micah,1,12,כיחלה לטוב יושבת מרות כיירד רע מאת יהוה לשער ירושל͏ם,"Though the inhabitants of MarothHoped for good,Yet disaster from  GOD descendedUpon the gate of Jerusalem.",Ninguno
