Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Nahum,1,1,משא נינוה ספר חזון נחום האלקשי,A pronouncement on Nineveh: The Book of the Prophecy of Nahum the Elkoshite.,Ninguno
Nahum,1,2,אל קנוא ונקם יהוה נקם יהוה ובעל חמה נקם יהוה לצריו ונוטר הוא לאיביו," The ETERNAL  is a passionate, avenging God;  GOD   is vengeful and fierce in wrath.  GOD   takes vengeance on opponents,And rages against foes.",Ninguno
Nahum,1,3,"יהוה ארך אפים <span class=""mam-kq""><span class=""mam-kq-k"">(וגדול)</span> <span class=""mam-kq-q"">[וגדל]</span></span>כח ונקה לא ינקה יהוה ב<small>ס</small>ופה ובשערה דרכו וענן אבק רגליו","  GOD   is slow to anger and of great forbearance,But  GOD does not remit all punishment.[God] travels in whirlwind and storm,With clouds the dust on divine feet.",Ninguno
Nahum,1,4,גוער בים ויבשהו וכלהנהרות החריב אמלל בשן וכרמל ופרח לבנון אמלל,"[God] rebukes the sea and dries it up,And makes all rivers fail;Bashan and Carmel languish,And the blossomsablossoms Lit. “bud.” of Lebanon wither.",Ninguno
Nahum,1,5,הרים רעשו ממנו והגבעות התמגגו ותשא הארץ מפניו ותבל וכליושבי בה,"The mountains quake because of [God],And the hills melt.The earth heavesbheaves Meaning of Heb. uncertain. before [God],The world and all that dwell therein.",Ninguno
Nahum,1,6,לפני זעמו מי יעמוד ומי יקום בחרון אפו חמתו נתכה כאש והצרים נתצו ממנו,"Who can stand before God’s wrath?Who can resist such fury?God’s anger pours out like fire,And rocks are shattered as a result.",Ninguno
Nahum,1,7,טוב יהוה למעוז ביום צרה וידע חסי בו,"  GOD   is good to [those who have hope],And is a haven on a day of distress—Being mindful of those seeking refuge.",Percepción (Yada)
Nahum,1,8,ובשטף עבר כלה יעשה מקומה ואיביו ירדףחשך,"And with a sweeping flood[God] makes an end of her place,cher place Meaning of Heb. uncertain; emendation yields “those who oppose [God].” And chases enemies into the darkness.",Ninguno
Nahum,1,9,מהתחשבון אליהוה כלה הוא עשה לאתקום פעמים צרה,"Why will youdyou I.e., Assyria, whose capital is Nineveh; cf. v. 1. plot against GOD ?Utter destruction is the outcome:No adversaryeadversary Cf. Ugaritic ṣrt. opposes [God] twice!",Ninguno
Nahum,1,10,כי עדסירים סבכים וכסבאם סבואים אכלו כקש יבש מלא,"fMeaning of verse uncertain. For like those besotted with drink,They are burned up like tangled thorns,Like straw that is thoroughly dried.",Ninguno
