Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Nehemiah,1,1,"דברי נחמיה בןחכליה ויהי בחדש<span class=""mam-kq-trivial"">כסלו</span> שנת עשרים ואני הייתי בשושן הבירה","The narrative of Nehemiah son of Hacaliah:In the month of Kislev of the twentieth year,athe twentieth year Of King Artaxerxes; cf. 2.1. when I was in the fortress of Shushan, ",Ninguno
Nehemiah,1,2,ויבא חנני אחד מאחי הוא ואנשים מיהודה ואשאלם עלהיהודים הפליטה אשרנשארו מןהשבי ועלירושל͏ם,"Hanani, one of my brothers, together with some Judahites, arrived, and I asked them about the Jews, the remnant who had survived the captivity, and about Jerusalem. ",Ninguno
Nehemiah,1,3,ויאמרו לי הנשארים אשרנשארו מןהשבי שם במדינה ברעה גדלה ובחרפה וחומת ירושל͏ם מפרצת ושעריה נצתו באש,"They replied, “The survivors who have survived the captivity there in the province are in dire trouble and disgrace; Jerusalem’s wall is full of breaches, and its gates have been destroyed by fire.”",Ninguno
Nehemiah,1,4,ויהי כשמעי&thinsp;<b></b> אתהדברים האלה ישבתי ואבכה ואתאבלה ימים ואהי צם ומתפלל לפני אלהי השמים,"When I heard that, I sat and wept, and was in mourning for days, fasting and praying to the God of Heaven. ",Ninguno
Nehemiah,1,5,ואמר אנא יהוה אלהי השמים האל הגדול והנורא שמר הברית וחסד לאהביו ולשמרי מצותיו,"I said, “O ETERNAL One, God of Heaven, great and awesome God, who stays faithful to the covenant with those who show love and keep the commandments! ",Ninguno
Nehemiah,1,6,תהי נא אזנךקשבת ועיניך פתוחות לשמע אלתפלת עבדך אשר אנכי מתפלל לפניך היום יומם ולילה עלבני ישראל עבדיך ומתודה עלחטאות בניישראל אשר חטאנו לך ואני וביתאבי חטאנו,"Let Your ear be attentive and Your eyes open to receive the prayer of Your servant that I am praying to You now, day and night, on behalf of the Israelites, Your servants, confessing the sins that we Israelites have committed against You, sins that I and my father’s house have committed. ",Ninguno
Nehemiah,1,7,חבל חבלנו לך ולאשמרנו אתהמצות ואתהחקים ואתהמשפטים אשר צוית אתמשה עבדך,"We have offended You by not keeping the commandments, the laws, and the rules that You gave to Your servant Moses. ",Ninguno
Nehemiah,1,8,זכרנא אתהדבר אשר צוית אתמשה עבדך לאמר אתם תמעלו אני אפיץ אתכם בעמים,"Be mindful of the promise You gave to Your servant Moses: ‘If you are unfaithful, I will scatter you among the peoples; ",Ninguno
Nehemiah,1,9,"ושבתם אלי ושמרתם מצותי ועשיתם אתם אםיהיה נדחכם בקצה השמים משם אקבצם <span class=""mam-kq""><span class=""mam-kq-k"">(והבואתים)</span> <span class=""mam-kq-q"">[והביאותים]</span></span> אלהמקום אשר בחרתי לשכן אתשמי שם","but if you turn back to Me, faithfully keep My commandments, even if your dispersed are at the ends of the earth,bearth Lit. “sky.” I will gather them from there and bring them to the place where I have chosen to establish My name.’ ",Ninguno
Nehemiah,1,10,והם עבדיך ועמך אשר פדית בכחך הגדול ובידך החזקה,For they are Your servants and Your people whom You redeemed by Your great power and Your mighty hand.,Ninguno
Nehemiah,1,11,"אנא אדני תהי נא אזנךקשבת אלתפלת עבדך ואלתפלת עבדיך החפצים ליראה אתשמך והצליחהנא לעבדך היום ותנהו לרחמים לפני האיש הזה ואני הייתי משקה למלך&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","O Lord! Let Your ear be attentive to the prayer of Your servant, and to the prayer of Your servants who desire to hold Your name in awe. Grant Your servant success today, and dispose his masterchis master Lit. “this man.” to be compassionate toward him!”I was the king’s cupbearer at the time.",Ninguno
Nehemiah,2,1,ויהי&thinsp;<b></b> בחדש ניסן שנת עשרים לארתחשסתא המלך יין לפניו ואשא אתהיין ואתנה למלך ולאהייתי רע לפניו,"In the month of Nisan, in the twentieth year of King Artaxerxes, wine was set before him; I took the wine and gave it to the king—I had never been out of sorts in his presence. ",Ninguno
Nehemiah,2,2,ויאמר לי המלך מדוע&thinsp;<b></b> פניך רעים ואתה אינך חולה אין זה כיאם רע לב ואירא הרבה מאד,"The king said to me, “How is it that you look bad, though you are not ill? It must be bad thoughts.” I was very frightened, ",Ninguno
Nehemiah,2,3,ואמר למלך המלך לעולם יחיה מדוע לאירעו פני אשר העיר ביתקברות אבתי חרבה ושעריה אכלו באש,"but I answered the king, “May the king live forever! How should I not look bad when the city of the graveyard of my ancestors lies in ruins, and its gates have been consumed by fire?” ",Ninguno
Nehemiah,2,4,ויאמר לי המלך עלמהזה אתה מבקש ואתפלל אלאלהי השמים,"The king said to me, “What is your request?” With a prayer to the God of Heaven, ",Ninguno
Nehemiah,2,5,ואמר למלך אםעלהמלך טוב ואםייטב עבדך לפניך אשר תשלחני אליהודה אלעיר קברות אבתי ואבננה,"I answered the king, “If it please the king, and if your servant has found favor with you, send me to Judah, to the city of my ancestors’ graves, to rebuild it.” ",Ninguno
Nehemiah,2,6,ויאמר לי המלך והשגל&thinsp;<b></b> יושבת אצלו עדמתי יהיה מהלכך ומתי תשוב וייטב לפניהמלך וישלחני ואתנה לו זמן,"With the consort seated at his side, the king said to me, “How long will you be gone and when will you return?” So it was agreeable to the king to send me, and I gave him a date. ",Ninguno
