Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Obadiah,1,1,חזון עבדיה כהאמר אדני יהוה לאדום שמועה שמענו מאת יהוה וציר בגוים שלח קומו ונקומה עליה למלחמה,"The prophecy of Obadiah.We have received tidings from  GOD,And an envoy has been sent out among the nations:“Up! Let us rise up against her for battle.”Thus said the Sovereign  GOD concerning Edom:",Ninguno
Obadiah,1,2,הנה קטן נתתיך בגוים בזוי אתה מאד,"I will make you least among nations,You shall be most despised.",Ninguno
Obadiah,1,3,זדון לבך השיאך שכני בחגויסלע מרום שבתו אמר בלבו מי יורדני ארץ,"Your arrogant heart has seduced you,You who dwell in clefts of the rock,In your lofty abode.You think in your heart,“Who can pull me down to earth?”",Ninguno
Obadiah,1,4,אםתגביה כנשר ואםבין כוכבים שים קנך משם אורידך נאםיהוה,"Should you nest as high as the eagle,Should your eyrie be lodged ’mong the stars,Even from there I will pull you down—declares  GOD.",Separación (Beyn)
Obadiah,1,5,אםגנבים באולך אםשודדי לילה איך נדמיתה הלוא יגנבו דים אםבצרים באו לך הלוא ישאירו עללות,"If thieves were to come to you,Marauders by night,They would steal no more than they needed.If vintagers came to you,They would surely leave some gleanings.How utterly you are destroyed!",Ninguno
Obadiah,1,6,איך נחפשו עשו נבעו מצפניו,"How thoroughly rifled is Esau,aEsau I.e., the Edomites, descendants of Jacob’s twin brother; cf. Gen. 36.1. How ransacked his hoards!",Ninguno
Obadiah,1,7,עדהגבול שלחוך כל אנשי בריתך השיאוך יכלו לך אנשי שלמך לחמך ישימו מזור תחתיך אין תבונה בו,All your allies turned you backAt the frontier;Your own confederatesHave duped and overcome you;[Those who ate] your breadHave planted snares under you.He is bereft of understanding.,Ninguno
Obadiah,1,8,הלוא ביום ההוא נאםיהוה והאבדתי חכמים מאדום ותבונה מהר עשו,"In that day—declares  GOD—I will make the wise vanish from Edom,Understanding from Esau’s mount.",Ninguno
Obadiah,1,9,וחתו גבוריך תימן למען יכרתאיש מהר עשו מקטל,"Your warriors shall lose heart, O Teman,And no one on Esau’s mountShall survive the slaughter.",Ninguno
Obadiah,1,10,מחמס אחיך יעקב תכסך בושה ונכרת לעולם,"For the outrage to your brother Jacob,Disgrace shall engulf you,And you shall perish forever.",Ninguno
Obadiah,1,11,"ביום עמדך מנגד ביום שבות זרים חילו ונכרים באו <span class=""mam-kq-trivial"">שערו</span> ועלירושל͏ם ידו גורל גםאתה כאחד מהם","On that day when you stood aloof,When aliens carried off his goods,When foreigners entered his gatesAnd cast lots for Jerusalem,You were as one of them.",Ninguno
Obadiah,1,12,ואלתרא ביוםאחיך ביום נכרו ואלתשמח לבנייהודה ביום אבדם ואלתגדל פיך ביום צרה,"How could youbHow could you Lit. “Do not,” and so through v. 14. gaze with gleeOn your brother that day,On his day of calamity!How could you gloatOver the people of JudahOn that day of ruin!How could you loudly jeerOn a day of anguish!",Ninguno
Obadiah,1,13,אלתבוא בשערעמי ביום אידם אלתרא גםאתה ברעתו ביום אידו ואלתשלחנה בחילו ביום אידו,"How could you enter the gate of My peopleOn its day of disaster,Gaze in glee with the othersOn its misfortuneOn its day of disaster,And lay hands on its wealthOn its day of disaster!",Ninguno
Obadiah,1,14,ואלתעמד עלהפרק להכרית אתפליטיו ואלתסגר שרידיו ביום צרה,How could you stand at the passescpasses Meaning of Heb. uncertain. To cut down its fugitives!How could you betray those who fledOn that day of anguish!,Ninguno
Obadiah,1,15,כיקרוב יוםיהוה עלכלהגוים כאשר עשית יעשה לך גמלך ישוב בראשך,"As you did, so shall it be done to you;Your conduct shall be requited.Yea, against all nationsThe day of  GOD is at hand.",Ninguno
Obadiah,1,16,כי כאשר שתיתם עלהר קדשי ישתו כלהגוים תמיד ושתו ולעו והיו כלוא היו,"That same cup that youdyou I.e., the Israelites. drank on My Holy MountShall all nations drink evermore,eevermore Emendation yields “at My hand,” cf. Isa. 51.17; Jer. 25.15; Ps. 75.9. Drink till their speech grows thick,And they become as though they had never been.",Ninguno
Obadiah,1,17,ובהר ציון תהיה פליטה והיה קדש וירשו בית יעקב את מורשיהם,"But on Zion’s mount a remnant shall survive,And it shall be holy.fholy I.e., inviolate; cf. Jer. 2.3. The House of Jacob shall dispossessThose who dispossessed them.",Ninguno
Obadiah,1,18,והיה ביתיעקב אש ובית יוסף להבה ובית עשו לקש ודלקו בהם ואכלום ולאיהיה שריד לבית עשו כי יהוה דבר,"The House of Jacob shall be fire,And the House of Joseph flame,And the House of Esau shall be straw;They shall burn it and devour it,And no survivor shall be left of the House of Esau—for  GOD has spoken.",Ninguno
Obadiah,1,19,וירשו הנגב אתהר עשו והשפלה אתפלשתים וירשו אתשדה אפרים ואת שדה שמרון ובנימן אתהגלעד,"gMeaning of parts of vv. 19–21 uncertain. Thus they shall possess the Negeb and Mount Esau as well, the Shephelah and Philistia. They shall possess the Ephraimite country and the district of Samaria,hdistrict of Samaria After the exile of the northern tribes, the city and district of Samaria were occupied mainly by non-Israelites. and BenjaminiBenjamin Emendation yields “the land of the Ammonites.” along with Gilead. ",Ninguno
Obadiah,1,20,וגלת החלהזה לבני ישראל אשרכנענים עדצרפת וגלת ירושל͏ם אשר בספרד ירשו את ערי הנגב,"And that exiled force of Israelites [shall possess] what belongs to the Phoenicians as far as Zarephath,jZarephath A town in southern Phoenicia; see 1 Kings 17.9. while the Jerusalemite exile community of SepharadkSepharad Probably Asia Minor, called Saparda in Persian cuneiform inscriptions. shall possess the towns of the Negeb. ",Ninguno
