Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Proverbs,1,1,<big>מ</big>שלי שלמה בןדוד מלך ישראל,"The proverbs of Solomon son of David, king of Israel:",Ninguno
Proverbs,1,2,לדעת חכמה ומוסר להבין אמרי בינה,For learning wisdom and discipline;For understanding words of discernment;,Separación (Beyn)
Proverbs,1,3,לקחת מוסר השכל צדק ומשפט ומשרים,"For acquiring the discipline for success,Righteousness, justice, and equity;",Ninguno
Proverbs,1,4,לתת לפתאים ערמה לנער דעת ומזמה,"For endowing the simple with shrewdness,The young with knowledge and foresight.",Ninguno
Proverbs,1,5,ישמע חכם ויוסף לקח ונבון תחבלות יקנה,"—The wise, hearing them, will gain more wisdom;The discerning will learn to be adroit;",Ninguno
Proverbs,1,6,להבין משל ומליצה דברי חכמים וחידתם,"For understanding proverb and epigram,The words of the wise and their riddles.",Separación (Beyn)
Proverbs,1,7,"יראת יהוה ראשית דעת חכמה ומוסר אוילים בזו&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",The fear of GOD is the beginningabeginning Or “best part.” of knowledge;Fools despise wisdom and discipline.,Ninguno
Proverbs,1,8,שמע בני מוסר אביך ואלתטש תורת אמך,"My son, heed the discipline of your father,And do not forsake the instruction of your mother;",Ninguno
Proverbs,1,9,כי&thinsp;<b></b> לוית חן הם לראשך וענקים לגרגרתך,"For they are a graceful wreath upon your head,A necklace about your throat.",Ninguno
Proverbs,1,10,בני אםיפתוך חטאים אלתבא,"My son, if sinners entice you, do not yield;",Ninguno
Proverbs,1,11,אםיאמרו לכה אתנו נארבה לדם נצפנה לנקי חנם,"If they say, “Come with us,Let us set an ambush to shed blood,Let us lie in wait for the innocent(Without cause!)",Ninguno
Proverbs,1,12,נבלעם כשאול חיים ותמימים כיורדי בור,"Like Sheol, let us swallow them alive;Whole, like those who go down into the Pit.",Ninguno
Proverbs,1,13,כלהון יקר נמצא נמלא בתינו שלל,We shall obtain every precious treasure;We shall fill our homes with loot.,Ninguno
Proverbs,1,14,גורלך תפיל בתוכנו כיס אחד יהיה לכלנו,Throw in your lot with us;We shall all have a common purse.”,Ninguno
Proverbs,1,15,בני אלתלך בדרך אתם מנע רגלך מנתיבתם,"My son, do not set out with them;Keep your feet from their path.",Ninguno
Proverbs,1,16,כי רגליהם לרע ירוצו וימהרו לשפךדם,For their feet run to evil;They hurry to shed blood.,Ninguno
Proverbs,1,17,כיחנם מזרה הרשת בעיני כלבעל כנף,In the eyes of every winged creatureThe outspread net means nothing.,Ninguno
Proverbs,1,18,והם לדמם יארבו יצפנו לנפשתם,But they lie in ambush for their own blood;They lie in wait for their own lives.,Ninguno
Proverbs,1,19,"כן ארחות כלבצע בצע אתנפש בעליו יקח&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",Such is the fate of all who pursue unjust gain;It takes the life of its possessor.,Ninguno
Proverbs,1,20,חכמות בחוץ תרנה ברחבות תתן קולה,"WisdombWisdom In Proverbs, wisdom is personified as a woman. cries aloud in the streets,Raises her voice in the squares.",Ninguno
Proverbs,1,21,בראש המיות תקרא בפתחי שערים בעיר אמריה תאמר,"At the head of the busy streets she calls;At the entrance of the gates, in the city, she speaks out:",Ninguno
Proverbs,1,22,"עדמתי&thinsp;<small></small>&thinsp;פתים תאהבו<span class=""mam-implicit-maqaf""></span>פתי ולצים לצון חמדו להם וכסילים ישנאודעת","“How long will you simple ones love simplicity,You scoffers be eager to scoff,You dullards hate knowledge?",Ninguno
Proverbs,1,23,תשובו לתוכחתי הנה אביעה לכם רוחי אודיעה דברי אתכם,"You are indifferent to my rebuke;I will now speak my mind to you,And let you know my thoughts.",Ninguno
Proverbs,1,24,יען קראתי ותמאנו נטיתי ידי ואין מקשיב,"Since you refused me when I called,And paid no heed when I extended my hand,",Ninguno
Proverbs,1,25,ותפרעו כלעצתי ותוכחתי לא אביתם,"You spurned all my advice,And would not hear my rebuke,",Ninguno
Proverbs,1,26,גםאני באידכם אשחק אלעג בבא פחדכם,"I will laugh at your calamity,And mock when terror comes upon you,",Ninguno
Proverbs,1,27,"בבא <span class=""mam-kq""><span class=""mam-kq-k"">(כשאוה)</span> <span class=""mam-kq-q"">[כשואה&thinsp;<b></b>]</span></span> פחדכם ואידכם כסופה יאתה בבא עליכם צרה וצוקה","When terror comes like a disaster,And calamity arrives like a whirlwind,When trouble and distress come upon you.",Ninguno
Proverbs,1,28,אז יקראנני ולא אענה ישחרנני ולא ימצאנני,Then they shall call me but I will not answer;They shall seek me but not find me.,Ninguno
Proverbs,1,29,תחת כישנאו דעת ויראת יהוה לא בחרו,"Because they hated knowledge,And did not choose fear of GOD;",Ninguno
Proverbs,1,30,לאאבו לעצתי נאצו כלתוכחתי,"They refused my advice,And disdained all my rebukes,",Ninguno
Proverbs,1,31,ויאכלו מפרי דרכם וממעצתיהם ישבעו,"They shall eat the fruit of their ways,And have their fill of their own counsels.",Ninguno
Proverbs,1,32,כי משובת פתים תהרגם ושלות כסילים תאבדם,"The tranquility of the simple will kill them,And the complacency of dullards will destroy them.",Ninguno
Proverbs,1,33,"ושמע לי ישכןבטח ושאנן מפחד רעה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","But the one who listens to me will dwell in safety,Untroubled by the terror of misfortune.”",Ninguno
Proverbs,2,1,בני אםתקח אמרי ומצותי תצפן אתך,"My son, if you accept my wordsAnd treasure up my commandments;",Ninguno
Proverbs,2,2,להקשיב לחכמה אזנך תטה לבך לתבונה,If you make your ear attentive to wisdomAnd your mind open to discernment;,Ninguno
Proverbs,2,3,כי אם לבינה תקרא לתבונה תתן קולך,"If you call to understandingAnd cry aloud to discernment,",Ninguno
Proverbs,2,4,אםתבקשנה ככסף וכמטמונים תחפשנה,"If you seek it as you do silverAnd search for it as for treasures,",Ninguno
Proverbs,2,5,אז תבין יראת יהוה ודעת אלהים תמצא,Then you will understand the fear of GOD And attain knowledge of God.,Separación (Beyn)
Proverbs,2,6,כייהוה יתן חכמה מפיו דעת ותבונה,For GOD grants wisdom;Knowledge and discernment are by God’s decree.,Ninguno
Proverbs,2,7,"<span class=""mam-kq""><span class=""mam-kq-k"">(וצפן)</span> <span class=""mam-kq-q"">[יצפן]</span></span> לישרים תושיה מגן להלכי תם","Ability is reserved for the uprightAnd [God] is a shield for those who live blamelessly,",Ninguno
Proverbs,2,8,לנצר ארחות משפט ודרך חסידו ישמר,"Guarding the paths of justice,Protecting the way of those who are loyal.",Ninguno
Proverbs,2,9,אז תבין צדק ומשפט ומישרים כלמעגלטוב,"You will then understand what is right, just,And equitable—every good course.",Separación (Beyn)
Proverbs,2,10,כיתבוא חכמה בלבך ודעת לנפשך ינעם,For wisdom will enter your mindAnd knowledge will delight you.,Ninguno
Proverbs,2,11,מזמה תשמר עליך תבונה תנצרכה,"Foresight will protect you,And discernment will guard you.",Ninguno
Proverbs,2,12,להצילך מדרך רע מאיש מדבר תהפכות,"It will save you from an evildoer’s ways,From a man who speaks duplicity—",Ninguno
Proverbs,2,13,העזבים ארחות ישר ללכת בדרכיחשך,"Those who leave the paths of rectitudeTo follow the ways of darkness,",Ninguno
Proverbs,2,14,השמחים לעשות רע יגילו בתהפכות רע,"Who rejoice in doing evilAnd exult in an evildoer’s duplicity,",Ninguno
Proverbs,2,15,אשר ארחתיהם עקשים ונלוזים במעגלותם,All whose paths are crookedAnd who are devious in their course.,Ninguno
Proverbs,2,16,להצילך מאשה זרה מנכריה אמריה החליקה,"It will save you from the forbiddenaforbidden Lit. “strange.” woman,From the alien woman whose talk is smooth,",Ninguno
Proverbs,2,17,העזבת אלוף נעוריה ואתברית אלהיה שכחה,Who forsakes the companion of her youthAnd disregards the covenant of her God.,Ninguno
Proverbs,2,18,כי שחה אלמות ביתה ואלרפאים מעגלתיה,"Her house sinks down to Death,And her course leads to the shades.",Ninguno
Proverbs,2,19,כלבאיה לא ישובון ולאישיגו ארחות חיים,All who go to her cannot returnAnd find again the paths of life.,Ninguno
Proverbs,2,20,למען תלך בדרך טובים וארחות צדיקים תשמר,So follow the way of the goodAnd keep to the paths of the just.,Ninguno
Proverbs,2,21,כיישרים ישכנוארץ ותמימים יותרו בה,"For the upright will inhabit the earth,The blameless will remain in it.",Ninguno
Proverbs,2,22,"ורשעים מארץ יכרתו ובוגדים יסחו ממנה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",While the wicked will vanish from the landAnd the treacherous will be rooted out of it.,Ninguno
Proverbs,3,1,בני תורתי אלתשכח ומצותי יצר לבך,"My son, do not forget my teaching,But let your mind retain my commandments;",Ninguno
Proverbs,3,2,כי ארך ימים ושנות חיים ושלום יוסיפו לך,"For they will bestow on you length of days,Years of life and well-being.",Ninguno
Proverbs,3,3,חסד ואמת אליעזבך קשרם עלגרגרותיך כתבם עללוח לבך,"Let fidelity and steadfastness not leave you;Bind them about your throat,Write them on the tablet of your mind,",Ninguno
Proverbs,3,4,ומצאחן ושכלטוב בעיני אלהים ואדם,And you will find favor and approbationIn the eyes of God and human beings.,Ninguno
Proverbs,3,5,בטח אליהוה בכללבך ואלבינתך אלתשען,"Trust in GOD with all your heart,And do not rely on your own understanding.",Ninguno
Proverbs,3,6,בכלדרכיך דעהו והוא יישר ארחתיך,"In all your ways acknowledge [God],And your paths will be made smooth.",Ninguno
Proverbs,3,7,אלתהי חכם בעיניך ירא אתיהוה וסור מרע,Do not be wise in your own eyes;Fear GOD and shun evil.,Ninguno
Proverbs,3,8,רפאות תהי לשרך ושקוי לעצמותיך,"It will be a cure for your body,abody Lit. “navel.” A tonic for your bones.",Ninguno
Proverbs,3,9,כבד אתיהוה מהונך ומראשית כלתבואתך,"Honor GOD with your wealth,With the best of all your income,",Ninguno
Proverbs,3,10,"וימלאו אסמיך שבע ותירוש יקביך יפרצו&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","And your barns will be filled with grain,Your vats will burst with new wine.",Ninguno
Proverbs,3,11,מוסר יהוה בני אלתמאס ואלתקץ בתוכחתו,"Do not reject GOD’s discipline, my son;Do not abhor such rebuke.",Ninguno
Proverbs,3,12,"כי את<span class=""mam-implicit-maqaf""></span>אשר יאהב יהוה יוכיח וכאב אתבן ירצה","For whom GOD loves, [God] rebukes,As a father the son whom he favors.",Ninguno
Proverbs,3,13,אשרי אדם מצא חכמה ואדם יפיק תבונה,"Happy is the one who finds wisdom,The one who attains understanding.",Ninguno
Proverbs,3,14,כי טוב סחרה מסחרכסף ומחרוץ תבואתה,"HerbHer See note at 1.20. value in trade is better than silver,Her yield, greater than gold.",Ninguno
Proverbs,3,15,"יקרה היא <span class=""mam-kq""><span class=""mam-kq-k"">(מפניים)</span> <span class=""mam-kq-q"">[מפנינים]</span></span> וכלחפציך לא ישוובה",She is more precious than rubies;All of your goods cannot equal her.,Ninguno
Proverbs,3,16,ארך ימים בימינה בשמאולה עשר וכבוד,"In her right hand is length of days,In her left, riches and honor.",Ninguno
Proverbs,3,17,דרכיה דרכינעם וכלנתיבותיה שלום,"Her ways are pleasant ways,And all her paths, peaceful.",Ninguno
Proverbs,3,18,"עץחיים היא למחזיקים בה ותמכיה מאשר&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","She is a tree of life to those who grasp her,And whoever holds on to her is happy.",Ninguno
Proverbs,3,19,יהוה בחכמה יסדארץ כונן שמים בתבונה,"
GOD
 founded the earth by wisdomAnd established the heavens by understanding;",Ninguno
Proverbs,3,20,בדעתו תהומות נבקעו ושחקים ירעפוטל,"By God’s knowledge the depths burst apart,And the skies distilled dew.",Ninguno
Proverbs,3,21,בני אלילזו מעיניך נצר תשיה ומזמה,"My son, do not lose sight of them;Hold on to resourcefulness and foresight.",Ninguno
Proverbs,3,22,ויהיו חיים לנפשך וחן לגרגרתיך,They will give life to your spiritAnd grace to your throat.,Ninguno
Proverbs,3,23,אז תלך לבטח דרכך ורגלך לא תגוף,Then you will go your way safelyAnd not injure your feet.,Ninguno
Proverbs,3,24,אםתשכב לאתפחד ושכבת וערבה שנתך,When you lie down you will be unafraid;You will lie down and your sleep will be sweet.,Ninguno
Proverbs,3,25,אלתירא מפחד פתאם ומשאת רשעים כי תבא,"You will not fear sudden terrorOr the disaster that comes upon the wicked,",Ninguno
Proverbs,3,26,כייהוה יהיה בכסלך ושמר רגלך מלכד,For GOD will be your trustAnd will keep your feet from being caught.,Ninguno
Proverbs,3,27,"אלתמנעטוב מבעליו בהיות לאל <span class=""mam-kq""><span class=""mam-kq-k"">(ידיך)</span> <span class=""mam-kq-q"">[ידך]</span></span> לעשות",Do not withhold good from those who deserve itWhen you have the power to do it [for them].,Ninguno
Proverbs,3,28,"אלתאמר <span class=""mam-kq""><span class=""mam-kq-k"">(לרעיך)</span> <span class=""mam-kq-q"">[לרעך&thinsp;<b></b>]</span></span> לך ושוב ומחר אתן ויש אתך","Do not say to your fellow, “Come back again;I’ll give it to you tomorrow,” when you have it with you.",Ninguno
Proverbs,3,29,אלתחרש עלרעך רעה והואיושב לבטח אתך,Do not devise harm against your fellowWho lives trustfully with you.,Ninguno
Proverbs,3,30,"אל<span class=""mam-kq""><span class=""mam-kq-q"">[תריב]</span> <span class=""mam-kq-k"">(תרוב)</span></span> עםאדם חנם אםלא גמלך רעה","Do not quarrel with someone for no cause,When they have done you no harm.",Ninguno
Proverbs,3,31,אלתקנא באיש חמס ואלתבחר בכלדרכיו,"Do not envy a lawless man,Or choose any of his ways;",Ninguno
Proverbs,3,32,כי תועבת יהוה נלוז ואתישרים סודו,"For the one who goes astray is an abomination to GOD,But the straightforward are intimates.",Ninguno
Proverbs,3,33,מארת יהוה בבית רשע ונוה צדיקים יברך,"
GOD’s curse is on the house of the evildoer,But the abode of the righteous is blessed.",Ninguno
Proverbs,3,34,"אםללצים הואיליץ <span class=""mam-kq""><span class=""mam-kq-k"">(ולעניים)</span> <span class=""mam-kq-q"">[ולענוים]</span></span> יתןחן","At scoffers [God] scoffs,But the lowly are shown grace.",Ninguno
Proverbs,3,35,"כבוד חכמים ינחלו וכסילים מרים קלון&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","The wise shall obtain honor,But dullards get disgrace as their portion.",Ninguno
Proverbs,4,1,שמעו בנים מוסר אב והקשיבו לדעת בינה,"Sons, heed the discipline of a father;Listen and learn discernment,",Ninguno
Proverbs,4,2,כי לקח טוב נתתי לכם תורתי אלתעזבו,For I give you good instruction;Do not forsake my teaching.,Ninguno
Proverbs,4,3,כיבן הייתי לאבי רך ויחיד לפני אמי,"Once I was a son to my father,The tender darling of my mother.",Ninguno
Proverbs,4,4,וירני ויאמר לי יתמךדברי לבך שמר מצותי וחיה,"He instructed me and said to me,“Let your mind hold on to my words;Keep my commandments and you will live.",Ninguno
Proverbs,4,5,קנה חכמה קנה בינה אלתשכח ואלתט מאמריפי,"Acquire wisdom, acquire discernment;Do not forget and do not swerve from my words.",Ninguno
Proverbs,4,6,אלתעזבה ותשמרך אהבה ותצרך,Do not forsake heraher See note at 1.20. and she will guard you;Love her and she will protect you.,Ninguno
Proverbs,4,7,ראשית חכמה קנה חכמה ובכלקנינך קנה בינה,"The beginningbbeginning Or “best part.” of wisdom is—acquire wisdom;With all your acquisitions, acquire discernment.",Ninguno
Proverbs,4,8,סלסלה ותרוממך תכבדך כי תחבקנה,Hug her to you and she will exalt you;She will bring you honor if you embrace her.,Ninguno
Proverbs,4,9,תתן לראשך לויתחן עטרת תפארת תמגנך,She will adorn your head with a graceful wreath;Crown you with a glorious diadem.”,Ninguno
Proverbs,4,10,שמע בני וקח אמרי וירבו לך שנות חיים,"My son, heed and take in my words,And you will have many years of life.",Ninguno
Proverbs,4,11,בדרך חכמה הריתיך הדרכתיך במעגליישר,I instruct you in the way of wisdom;I guide you in straight courses.,Ninguno
Proverbs,4,12,בלכתך לאיצר צעדך ואםתרוץ לא תכשל,"You will walk without breaking stride;When you run, you will not stumble.",Ninguno
Proverbs,4,13,החזק במוסר אלתרף נצרה כיהיא חייך,Hold fast to discipline; do not let go;Keep it; it is your life.,Ninguno
Proverbs,4,14,בארח רשעים אלתבא ואלתאשר בדרך רעים,Do not enter on the path of the wicked;Do not walk on the way of evildoers.,Ninguno
Proverbs,4,15,פרעהו אלתעברבו שטה מעליו ועבר,Avoid it; do not pass through it;Turn away from it; pass it by.,Ninguno
Proverbs,4,16,"כי לא ישנו אםלא ירעו ונגזלה שנתם אםלא <span class=""mam-kq""><span class=""mam-kq-k"">(יכשולו)</span> <span class=""mam-kq-q"">[יכשילו]</span></span>",For they cannot sleep unless they have done evil;Unless they make someone fall they are robbed of sleep.,Ninguno
Proverbs,4,17,כי לחמו לחם רשע ויין חמסים ישתו,They eat the bread of wickednessAnd drink the wine of lawlessness.,Ninguno
Proverbs,4,18,וארח צדיקים כאור נגה הולך ואור עדנכון היום,"The path of the righteous is like radiant sunlight,Ever brightening until noon.",Ninguno
Proverbs,4,19,"דרך רשעים כאפלה לא ידעו במה יכשלו&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",The way of the wicked is all darkness;They do not know what will make them stumble.,Percepción (Yada)
Proverbs,4,20,בני לדברי הקשיבה לאמרי הטאזנך,"My son, listen to my speech;Incline your ear to my words.",Ninguno
Proverbs,4,21,אליליזו מעיניך שמרם בתוך לבבך,Do not lose sight of them;Keep them in your mind.,Ninguno
Proverbs,4,22,כיחיים הם למצאיהם ולכלבשרו מרפא,"They are life to those who find them,Healing for the whole body.",Ninguno
Proverbs,4,23,מכלמשמר נצר לבך כיממנו תוצאות חיים,"More than all that you guard, guard your mind,For it is the source of life.",Ninguno
Proverbs,4,24,הסר ממך עקשות פה ולזות שפתים הרחק ממך,Put crooked speech away from you;Keep devious talk far from you.,Ninguno
Proverbs,4,25,עיניך לנכח יביטו ועפעפיך יישרו נגדך,"Let your eyes look forward,Your gaze be straight ahead.",Ninguno
Proverbs,4,26,פלס מעגל רגלך וכלדרכיך יכנו,"Survey the course you take,And all your ways will prosper.",Ninguno
Proverbs,4,27,"אלתטימין ושמאול הסר רגלך מרע&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",Do not swerve to the right or the left;Keep your feet from evil.,Control/Derecha (Yamin)
Proverbs,5,1,בני לחכמתי הקשיבה לתבונתי הטאזנך,"My son, listen to my wisdom;Incline your ear to my insight,",Ninguno
Proverbs,5,2,לשמר מזמות ודעת שפתיך ינצרו,"That you may have foresight,While your lips hold fast to knowledge.",Ninguno
Proverbs,5,3,כי נפת תטפנה שפתי זרה וחלק משמן חכה,For the lips of a forbiddenaforbidden Lit. “strange.” woman drip honey;Her mouth is smoother than oil;,Ninguno
Proverbs,5,4,ואחריתה מרה כלענה חדה כחרב פיות,"But in the end she is as bitter as wormwood,Sharp as a two-edged sword.",Ninguno
Proverbs,5,5,רגליה ירדות מות שאול צעדיה יתמכו,Her feet go down to Death;Her steps take hold of Sheol.,Ninguno
Proverbs,5,6,"ארח חיים פןתפלס נעו מעגלתיה לא תדע&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",She does not chart a path of life;Her course meanders for lack of knowledge.,Ninguno
Proverbs,5,7,ועתה בנים שמעולי ואלתסורו מאמריפי,"So now, sons, pay heed to me,And do not swerve from the words of my mouth.",Ninguno
Proverbs,5,8,הרחק מעליה דרכך ואלתקרב אלפתח ביתה,Keep yourself far away from her;Do not come near the doorway of her house,Ninguno
Proverbs,5,9,פןתתן לאחרים הודך ושנתיך לאכזרי,"Lest you give up your vigor to others,Your years to a ruthless one;",Ninguno
Proverbs,5,10,פןישבעו זרים כחך ועצביך בבית נכרי,"Lest strangers eat their fill of your strength,And your toil be for the house of another;",Ninguno
Proverbs,5,11,ונהמת באחריתך בכלות בשרך ושארך,"And in the end you roar,When your flesh and body are consumed,",Ninguno
Proverbs,5,12,ואמרת איך שנאתי מוסר ותוכחת נאץ לבי,"And say,“O how I hated discipline,And heartily spurned rebuke.",Ninguno
Proverbs,5,13,ולאשמעתי בקול מורי ולמלמדי לאהטיתי אזני,"I did not pay heed to my teachers,Or incline my ear to my instructors.",Ninguno
Proverbs,5,14,כמעט הייתי בכלרע בתוך קהל ועדה,Soon I was in dire troubleAmidst the assembled congregation.”,Ninguno
Proverbs,5,15,שתהמים מבורך ונזלים מתוך בארך,"Drink water from your own cistern,Running water from your own well.",Ninguno
Proverbs,5,16,יפוצו מעינתיך חוצה ברחבות פלגימים,Your springs will gush forthIn streams in the public squares.,Ninguno
Proverbs,5,17,יהיולך לבדך ואין לזרים אתך,"They will be yours alone,Others having no part with you.",Ninguno
Proverbs,5,18,יהימקורך ברוך ושמח מאשת נעורך,Let your fountain be blessed:Find joy in the wife of your youth—,Ninguno
Proverbs,5,19,אילת אהבים ויעלתחן דדיה ירוך בכלעת באהבתה תשגה תמיד,"A loving doe, a graceful mountain goat.Let her breasts satisfy you at all times;Be infatuated with love of her always.",Ninguno
Proverbs,5,20,ולמה תשגה בני בזרה ותחבק חק נכריה,"Why be infatuated, my son, with a forbiddenbforbidden Or “a stranger.” woman?Why clasp the bosom of an alien woman?",Ninguno
Proverbs,5,21,כי נכח&thinsp;<b></b> עיני יהוה דרכיאיש וכלמעגלתיו מפלס,"For everyone’s ways are before the eyes of God,Who surveys their entire course.",Ninguno
Proverbs,5,22,עוונתיו ילכדנו אתהרשע ובחבלי חטאתו יתמך,The wicked man will be trapped in his iniquities;He will be caught up in the ropes of his sin.,Ninguno
Proverbs,5,23,"הוא ימות באין מוסר וברב אולתו ישגה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","He will die for lack of discipline,Infatuated by his great folly.",Ninguno
Proverbs,6,1,בני אםערבת לרעך תקעת לזר כפיך,"My son, if you have stood surety for your fellow,Given your hand for another,aGiven your hand for another Meaning of Heb. uncertain. ",Ninguno
Proverbs,6,2,נוקשת באמריפיך נלכדת באמריפיך,"You have been trapped by the words of your mouth,Snared by the words of your mouth.",Ninguno
Proverbs,6,3,"עשה זאת אפוא&thinsp;<small></small>&thinsp;בני והנצל כי<span class=""mam-implicit-maqaf""></span>באת בכףרעך לך התרפס ורהב רעיך","Do this, then, my son, to extricate yourself,For you have come into the power of your fellow:Go grovel—and badger your fellow;",Ninguno
Proverbs,6,4,אלתתן שנה לעיניך ותנומה לעפעפיך,"Give your eyes no sleep,Your pupils no slumber.",Ninguno
Proverbs,6,5,"הנצל כצבי מיד וכצפור מיד יקוש&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Save yourself like a deer out of the hand [of a hunter],Like a bird out of the hand of a fowler.",Ninguno
Proverbs,6,6,לךאלנמלה עצל ראה דרכיה וחכם,"Lazybones, go to the ant;Study its ways and learn.",Ninguno
Proverbs,6,7,אשר איןלה קצין שטר ומשל,"Without leaders, officers, or rulers,",Ninguno
Proverbs,6,8,תכין בקיץ לחמה אגרה בקציר מאכלה,"It lays up its stores during the summer,Gathers in its food at the harvest.",Ninguno
