Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Psalms,1,1,"אשרי<span class=""mam-implicit-maqaf""></span>האיש אשר&thinsp;<b></b> לא הלך בעצת רשעים ובדרך חטאים לא עמד ובמושב לצים לא ישב","Happy is the one who has not followed the counsel of the wicked,or taken the path of sinners,or joined the company of the insolent;",Ninguno
Psalms,1,2,"כי אם<span class=""mam-implicit-maqaf""></span>בתורת יהוה חפצו ובתורתו יהגה יומם ולילה","rather, this one delights in GOD’s teaching,and studiesastudies Or “recites”; lit. “utters.” that teaching day and night.",Ninguno
Psalms,1,3,"והיה כעץ שתול עלפלגי<span class=""mam-implicit-maqaf""></span>מים אשר פריו&thinsp;<b></b> יתן בעתו ועלהו לאיבול וכל אשריעשה יצליח","Such a one is like a tree planted beside streams of water,which yields its fruit in season,whose foliage never fades,and whatever it produces thrives.bit produces thrives Or “he does prospers.” ",Ninguno
Psalms,1,4,לאכן הרשעים כי אםכמץ אשרתדפנו רוח,"Not so the wicked;rather, they are like chaff that wind blows away.",Ninguno
Psalms,1,5,עלכן&thinsp;<b></b> לאיקמו רשעים במשפט וחטאים בעדת צדיקים,"Therefore the wicked will not survive judgment,nor will sinners, in the assembly of the righteous.",Ninguno
Psalms,1,6,"כייודע יהוה דרך צדיקים ודרך רשעים תאבד&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","For GOD cherishes the way of the righteous,but the way of the wicked is doomed.",Ninguno
Psalms,2,1,למה רגשו גוים ולאמים יהגוריק,"Why do nations assemble,and peoples plotaplot Lit. “utter.” vain things;",Ninguno
Psalms,2,2,יתיצבו&thinsp;<b></b> מלכיארץ ורוזנים נוסדויחד עליהוה ועלמשיחו,"kings of the earth take their stand,and regents intrigue togetheragainst the one anointed by GOD?bagainst the one anointed by GOD Lit. “against GOD and against His anointed one.” ",Ninguno
Psalms,2,3,ננתקה אתמוסרותימו ונשליכה ממנו עבתימו,"“Let us break the cords of their yoke,shake off their ropes from us!”",Ninguno
Psalms,2,4,יושב בשמים ישחק אדני ילעגלמו,The One who is enthroned in heaven laughs;my Sovereign mocks at them.,Ninguno
Psalms,2,5,אז ידבר אלימו באפו ובחרונו יבהלמו,"Then [God] speaks to them in anger,terrifying them with divine rage,",Ninguno
Psalms,2,6,ואני נסכתי מלכי עלציון הרקדשי,"“But I have installed My kingon Zion, My holy mountain!”",Ninguno
Psalms,2,7,"אספרה אל<span class=""mam-implicit-maqaf""></span>חק יהוה אמר<span class=""mam-implicit-maqaf""></span>אלי בני אתה אני היום ילדתיך","Let me tell of the decree: GOD said to me,“You are My son,I have fathered you this day.cYou are My son, / I have fathered you this day I.e., GOD agrees to provide the king with what fathers in the ancient Near East normally provide sons: ongoing protection and aid, in return for accountability. Compare 2 Sam. 7.14 and Ps. 89.27ff. ",Ninguno
Psalms,2,8,שאל ממני ואתנה גוים נחלתך ואחזתך אפסיארץ,"Ask it of Me,and I will make the nations your domain;your estate, the limits of the earth.",Ninguno
Psalms,2,9,תרעם בשבט ברזל ככלי יוצר תנפצם,"You can smash them with an iron mace,shatter them like potter’s ware.”",Ninguno
Psalms,2,10,ועתה מלכים השכילו הוסרו שפטי ארץ,"So now, O kings, be prudent;accept discipline, you rulers of the earth!",Ninguno
