Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Zechariah,1,1,בחדש השמיני בשנת שתים לדריוש היה דבריהוה אלזכריה בןברכיה בןעדו הנביא לאמר,"In the eighth month of the second year of Darius, this word of GOD came to the prophet Zechariah son of Berechiah son of Iddo:aA clause like “Say to the people” is here understood; cf. 7.5. ",Ninguno
Zechariah,1,2,קצף יהוה עלאבותיכם קצף,GOD was very angry with your ancestors.,Ninguno
Zechariah,1,3,ואמרת אלהם כה אמר יהוה צבאות שובו אלי נאם יהוה צבאות ואשוב אליכם אמר יהוה צבאות,Say to them further:Thus said GOD of Hosts: Turn back to me—says GOD of Hosts—and I will turn back to you—said GOD of Hosts.,Ninguno
Zechariah,1,4,"אלתהיו כאבתיכם אשר קראואליהם הנביאים הראשנים לאמר כה אמר יהוה צבאות שובו נא מדרכיכם הרעים <span class=""mam-kq""><span class=""mam-kq-k"">(ומעליליכם)</span> <span class=""mam-kq-q"">[ומעלליכם]</span></span> הרעים ולא שמעו ולאהקשיבו אלי נאםיהוה","Do not be like your ancestors! For when the earlier prophets called to them, “Thus said GOD of Hosts: Come, turn back from your evil ways and your evil deeds, they did not obey or give heed to Me—declares GOD. ",Ninguno
Zechariah,1,5,אבותיכם איההם והנבאים הלעולם יחיו,Where are your ancestors now? And did the prophets live forever?,Ninguno
Zechariah,1,6,"אך&thinsp;<b></b> דברי וחקי אשר צויתי אתעבדי הנביאים הלוא השיגו אבתיכם וישובו ויאמרו כאשר זמם יהוה צבאות לעשות לנו כדרכינו וכמעללינו כן עשה אתנו&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","But the warnings and the decrees with which I charged My servants the prophets overtook your ancestors—did they not?—and in the end they had to admit, ‘GOD of Hosts purposed to deal with us according to our ways and our deeds; that is just what has been done to us.’”",Ninguno
Zechariah,1,7,ביום עשרים וארבעה לעשתיעשר חדש הואחדש שבט בשנת שתים לדריוש היה דבריהוה אלזכריה בןברכיהו בןעדוא הנביא לאמר,On the twenty-fourth day of the eleventh month of the second year of Darius—the month of Shebat—this word of GOD came to the prophet Zechariah son of Berechiah son of Iddo:,Ninguno
Zechariah,1,8,ראיתי&thinsp;<b></b> הלילה והנהאיש רכב עלסוס אדם והוא עמד בין ההדסים אשר במצלה ואחריו סוסים אדמים שרקים ולבנים,"In the night, I had a vision. I saw a figure, mounted on a bay horse, standing among the myrtlesbamong the myrtles Septuagint reads “between the mountains”; cf. 6.1. In 6.1ff. four teams of horses leave that abode to roam the four quarters of the earth; in 1.8ff. they are about to reenter God’s abode after such a reconnaissance. in the Deep, and behind him were bay,cbay Septuagint adds “dappled”; cf. 6.3. sorrel,dsorrel Meaning of Heb. uncertain. Emendation yields “black”; cf. 6.2. and white horses. ",Separación (Beyn)
Zechariah,1,9,ואמר מהאלה אדני ויאמר אלי המלאך הדבר בי אני אראך מההמה אלה,"I asked, “What are those, my lord?” And the angel who talked with me answered, “I will let you know what they are.” ",Ninguno
Zechariah,1,10,ויען האיש העמד ביןההדסים ויאמר אלה אשר שלח יהוה להתהלך בארץ,"Then the figure who was standing among the myrtleseamong the myrtles See the first note at v. 8. spoke up and said, “These were sent out by GOD to roam the earth.”",Separación (Beyn)
