Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Zephaniah,1,1,דבריהוה&thinsp;<b></b> אשר היה אלצפניה בןכושי בןגדליה בןאמריה בןחזקיה בימי יאשיהו בןאמון מלך יהודה,"The word of GOD that came to Zephaniah son of Cushi son of Gedaliah son of Amariah son of Hezekiah, during the reign of King Josiah son of Amon of Judah.",Ninguno
Zephaniah,1,2,אסף אסף כל מעל פני האדמה נאםיהוה,I will sweep everything awayFrom the face of the earth—declares  GOD.,Ninguno
Zephaniah,1,3,אסף אדם ובהמה אסף עוףהשמים ודגי הים והמכשלות אתהרשעים והכרתי אתהאדם מעל פני האדמה נאםיהוה,"I will sweep away human and animal;I will sweep away the birds of the skyAnd the fish of the sea.I will make the wicked stumble,aI will make the wicked stumble Meaning of Heb. uncertain. And I will destroy humankindFrom the face of the earth—declares  GOD.",Ninguno
Zephaniah,1,4,ונטיתי ידי עליהודה ועל כליושבי ירושל͏ם והכרתי מןהמקום הזה אתשאר הבעל אתשם הכמרים עםהכהנים,"I will stretch out My arm against JudahAnd against all who dwell in Jerusalem;And I will wipe out from this placeEvery vestige of Baal,And the name of the priestlingsbpriestlings Heb. kemarim, a term used only of priests of heathen gods. along with the priests;",Ninguno
Zephaniah,1,5,ואתהמשתחוים עלהגגות לצבא השמים ואתהמשתחוים הנשבעים ליהוה והנשבעים במלכם,And those who bow down on the roofsTo the host of heaven;And those who bow down and swear to  GOD But also swear by Malcam;cMalcam Apparently identical with “Milcom the abomination of the Ammonites”; cf. 1 Kings 11.5. ,Ninguno
Zephaniah,1,6,ואתהנסוגים מאחרי יהוה ואשר לאבקשו אתיהוה ולא דרשהו,"And those who have forsaken  GOD,And those who have not sought  GOD And have not made inquiry.",Ninguno
Zephaniah,1,7,הס מפני אדני יהוה כי קרוב יום יהוה כיהכין יהוה זבח הקדיש קראיו,"Be silent before my Sovereign  GOD,For the day of  GOD is approaching;For  GOD has prepared a sacrificial feast,dsacrificial feast I.e., a slaughter of sinners. Has bidden the guests purify themselves.ebidden the guests purify themselves I.e., invitations have already been issued in anticipation; cf. 1 Sam. 16.5. ",Ninguno
Zephaniah,1,8,והיה ביום זבח יהוה ופקדתי עלהשרים ועלבני המלך ועל כלהלבשים מלבוש נכרי,"And on the day of  GOD’s sacrificeI will punish the officialsAnd the king’s sons,fking’s sons Apparently brothers of King Amon, who exercised influence during the minority of King Josiah (2 Kings 22.1). And all who don a foreign vestment.",Ninguno
Zephaniah,1,9,ופקדתי על כלהדולג עלהמפתן ביום ההוא הממלאים בית אדניהם חמס ומרמה,"I will also punish on that dayEveryone who steps over the threshold,gdon a foreign vestment … steps over the threshold Apparently two customs of heathen worship; cf. 2 Kings 10.22 and 1 Sam. 5.5. Who fill their master’shtheir master’s I.e., King Josiah’s. palaceWith lawlessness and fraud.",Ninguno
Zephaniah,1,10,והיה ביום ההוא נאםיהוה קול צעקה משער הדגים ויללה מןהמשנה ושבר גדול מהגבעות,"In that day there shall be—declares  GOD—A loud outcry from the Fish Gate,And howling from the Mishneh,iMishneh A quarter of Jerusalem; cf. 2 Kings 22.14. And a sound of great anguish from the hills.",Ninguno
Zephaniah,1,11,"הילילו ישבי המכתש כי נדמה כלעם כנען נכרתו כלנטילי כסף&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","The dwellers of the MachteshjMachtesh Another quarter of Jerusalem. howl;For all the traders have perished,All who weigh silver are wiped out.",Ninguno
Zephaniah,1,12,והיה בעת ההיא אחפש אתירושל͏ם בנרות ופקדתי עלהאנשים הקפאים עלשמריהם האמרים בלבבם לאייטיב יהוה ולא ירע,"At that time,I will search Jerusalem with lamps;And I will punish all thoseWho rest untroubled on their lees,Who say to themselves,“ GOD will do nothing, good or bad.”",Ninguno
Zephaniah,1,13,והיה חילם למשסה ובתיהם לשממה ובנו בתים ולא ישבו ונטעו כרמים ולא ישתו אתיינם,"Their wealth shall be plunderedAnd their homes laid waste.They shall build houses and not dwell in them,Plant vineyards and not drink their wine.",Ninguno
Zephaniah,1,14,קרוב יוםיהוה הגדול קרוב ומהר מאד קול יום יהוה מר צרח שם גבור,"The great day of  GOD is approaching,Approaching most swiftly.Hark, the day of  GOD!It is bitter:There a warrior shrieks!kHark, the day of GOD! / It is bitter: / There a warrior shrieks! Emendation yields: “The day of GOD is faster than a runner, / Fleeter than a warrior”; cf. Ps. 19.6. ",Ninguno
Zephaniah,1,15,יום עברה היום ההוא יום צרה ומצוקה יום שאה ומשואה יום חשך ואפלה יום ענן וערפל,"That day shall be a day of wrath,A day of trouble and distress,A day of calamity and desolation,A day of darkness and deep gloom,A day of densest clouds,",Ninguno
Zephaniah,1,16,יום שופר ותרועה על הערים הבצרות ועל הפנות הגבהות,A day of horn blasts and alarms—Against the fortified townsAnd the lofty corner towers.,Ninguno
Zephaniah,1,17,והצרתי לאדם והלכו כעורים כי ליהוה חטאו ושפך דמם כעפר ולחמם כגללים,"I will bring distress on the people,And they shall walk like the blind,Because they sinned against  GOD;Their blood shall be spilled like dust,And their fatlfat Or “marrow”; meaning of Heb. uncertain. like dung.",Ninguno
Zephaniah,1,18,"גםכספם גםזהבם לאיוכל להצילם ביום עברת יהוה ובאש קנאתו תאכל כלהארץ כיכלה אךנבהלה יעשה את כלישבי הארץ&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Moreover, their silver and goldShall not avail to save them.On the day of  GOD’s wrath,In the fire of such passion,The whole land shall be consumed;For [God] will make a terrible endOf all who dwell in the land.",Ninguno
Zephaniah,2,1,התקוששו וקושו הגוי לא נכסף,"Gather together, gather,O nation without shame,",Ninguno
Zephaniah,2,2,בטרם לדת חק כמץ עבר יום בטרם&thinsp;<b></b> לאיבוא עליכם חרון אףיהוה בטרם לאיבוא עליכם יום אףיהוה,"Before the day the decree is born—The day flies by like chaffaO nation … chaff Meaning of Heb. uncertain. Emendation yields: “O straw [Aramaic gel] not gathered in, / Before you are driven like flying chaff”; cf. Ps. 35.5.—Before GOD’s fierce anger Overtakes you,Before the day GOD’s anger Overtakes you.",Ninguno
Zephaniah,2,3,בקשו אתיהוה כלענוי הארץ אשר משפטו פעלו בקשוצדק בקשו ענוה אולי תסתרו ביום אףיהוה,"Seek  GOD,All you humble of the landWho have fulfilled God’s law;Seek righteousness,Seek humility.Perhaps you will find shelterOn the day of  GOD’s anger.",Ninguno
Zephaniah,2,4,"כי עזה עזובה תהיה ואשקלון לשממה אשדוד בצהרים יגרשוה ועקרון תעקר&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Indeed, Gaza shall be desertedAnd Ashkelon desolate;Ashdod’s people shall be expelled in broad daylight,And Ekron shall be uprooted.",Ninguno
